"",BBK01.OEXB04N,BBK01.OEXB04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:57,
2002-01,64.411,
2002-04,66.240,
2002-07,66.900,
2002-10,66.822,
2003-01,65.562,
2003-04,67.451,
2003-07,67.959,
2003-10,68.694,
2004-01,67.641,
2004-04,69.526,
2004-07,71.161,
2004-10,31.822,
2005-01,31.660,
2005-04,32.476,
2005-07,31.937,
2005-10,32.194,
2006-01,32.031,
2006-04,32.701,
2006-07,33.047,
2006-10,33.292,
2007-01,33.120,
2007-04,33.578,
2007-07,33.709,
2007-10,34.067,
2008-01,35.110,
2008-04,37.545,
2008-07,38.177,
2008-10,38.602,
2009-01,38.426,
2009-04,38.929,
2009-07,39.491,
2009-10,39.167,
2010-01,39.726,
2010-04,39.260,
2010-07,39.322,
2010-10,39.382,
2011-01,39.565,
2011-04,39.682,
2011-07,39.943,
2011-10,40.117,
2012-01,39.843,
2012-04,40.404,
2012-07,40.702,
2012-10,42.233,
2013-01,42.472,
2013-04,42.714,
2013-07,43.352,
2013-10,43.364,
2014-01,44.083,
2014-04,43.961,
2014-07,44.286,
