"",BBK01.OEHI09P,BBK01.OEHI09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:17,
2002-01,0.802,
2002-04,0.812,
2002-07,0.826,
2002-10,0.866,
2003-01,0.816,
2003-04,0.783,
2003-07,0.795,
2003-10,0.760,
2004-01,0.717,
2004-04,0.665,
2004-07,0.653,
2004-10,0.742,
2005-01,0.761,
2005-04,0.718,
2005-07,0.691,
2005-10,0.714,
2006-01,0.727,
2006-04,0.724,
2006-07,0.754,
2006-10,0.724,
2007-01,0.732,
2007-04,0.741,
2007-07,0.737,
2007-10,0.751,
2008-01,0.770,
2008-04,0.778,
2008-07,0.826,
2008-10,0.926,
2009-01,0.945,
2009-04,1.014,
2009-07,0.990,
2009-10,1.030,
2010-01,0.908,
2010-04,0.784,
2010-07,0.732,
2010-10,0.716,
2011-01,0.710,
2011-04,0.705,
2011-07,0.689,
2011-10,0.627,
2012-01,0.576,
2012-04,0.519,
2012-07,0.435,
2012-10,0.354,
2013-01,0.293,
2013-04,0.246,
2013-07,0.226,
2013-10,0.248,
2014-01,0.267,
2014-04,0.267,
2014-07,0.262,
