"",BBSF2.M.1.T.00000.REN01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.REN01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Bonds funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:26,
2009-09,245446,
2009-10,245867,
2009-11,250237,
2009-12,255440,
2010-01,259857,
2010-02,264659,
2010-03,270758,
2010-04,272035,
2010-05,275733,
2010-06,275494,
2010-07,275332,
2010-08,284500,
2010-09,285146,
2010-10,285582,
2010-11,282428,
2010-12,278641,
2011-01,276266,
2011-02,277758,
2011-03,276072,
2011-04,272560,
2011-05,275409,
2011-06,274152,
2011-07,277470,
2011-08,279139,
2011-09,279448,
2011-10,279657,
2011-11,274519,
2011-12,286132,
2012-01,292799,
2012-02,297819,
2012-03,301324,
2012-04,302537,
2012-05,311655,
2012-06,310576,
2012-07,321668,
2012-08,325855,
2012-09,327462,
2012-10,330677,
2012-11,335193,
2012-12,338552,
2013-01,335252,
2013-02,338199,
2013-03,342647,
2013-04,348121,
2013-05,344070,
2013-06,333402,
2013-07,336940,
2013-08,335162,
2013-09,336736,
2013-10,339009,
2013-11,342565,
2013-12,339582,
2014-01,346688,
2014-02,350734,
2014-03,360183,
2014-04,358177,
2014-05,365308,
2014-06,368571,
2014-07,371443,
2014-08,379845,
2014-09,381825,
2014-10,386535,
2014-11,393711,
