"",BBFB1.Q.N.DE.A5.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:05,
1991-01,55.938,
1991-04,127.798,
1991-07,-120.936,
1991-10,159.724,
1992-01,81.137,
1992-04,322.821,
1992-07,106.201,
1992-10,141.907,
1993-01,216.443,
1993-04,103.154,
1993-07,231.601,
1993-10,183.600,
1994-01,24.704,
1994-04,-7.281,
1994-07,171.869,
1994-10,32.365,
1995-01,44.268,
1995-04,-61.066,
1995-07,44.450,
1995-10,-103.648,
1996-01,128.759,
1996-04,-62.172,
1996-07,120.676,
1996-10,261.862,
1997-01,226.277,
1997-04,30.248,
1997-07,325.100,
1997-10,457.683,
1998-01,468.698,
1998-04,342.206,
1998-07,915.453,
1998-10,599.000,
1999-01,637.425,
1999-04,510.319,
1999-07,914.922,
1999-10,1036.906,
2000-01,750.869,
2000-04,588.086,
2000-07,894.435,
2000-10,783.653,
2001-01,766.242,
2001-04,814.626,
2001-07,1192.988,
2001-10,942.510,
2002-01,896.717,
2002-04,1017.743,
2002-07,731.706,
2002-10,1464.182,
2003-01,830.088,
2003-04,517.247,
2003-07,640.888,
2003-10,753.248,
2004-01,1060.885,
2004-04,756.706,
2004-07,915.824,
2004-10,1084.594,
2005-01,1175.758,
2005-04,826.967,
2005-07,1647.848,
2005-10,1005.957,
2006-01,1202.434,
2006-04,650.959,
2006-07,1013.194,
2006-10,1640.574,
2007-01,1060.459,
2007-04,857.801,
2007-07,1444.856,
2007-10,573.901,
2008-01,604.582,
2008-04,1074.468,
2008-07,1010.044,
2008-10,838.268,
2009-01,473.190,
2009-04,289.360,
2009-07,625.109,
2009-10,758.599,
2010-01,606.477,
2010-04,847.024,
2010-07,1497.874,
2010-10,1345.985,
2011-01,729.436,
2011-04,656.092,
2011-07,903.754,
2011-10,863.694,
2012-01,1256.977,
2012-04,544.214,
2012-07,1411.991,
2012-10,1482.609,
2013-01,1446.083,
2013-04,989.476,
2013-07,953.653,
2013-10,1598.531,
2014-01,1305.989,Provisional value
2014-04,1031.682,Provisional value
2014-07,1640.580,Provisional value
