"",BBK01.OEHI09G,BBK01.OEHI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:14,
2002-01,12.179,
2002-04,12.033,
2002-07,11.831,
2002-10,11.495,
2003-01,11.082,
2003-04,10.385,
2003-07,9.962,
2003-10,10.337,
2004-01,10.167,
2004-04,9.813,
2004-07,9.916,
2004-10,10.592,
2005-01,11.241,
2005-04,11.336,
2005-07,11.064,
2005-10,11.065,
2006-01,11.235,
2006-04,11.578,
2006-07,12.063,
2006-10,13.669,
2007-01,14.161,
2007-04,14.118,
2007-07,13.753,
2007-10,13.951,
2008-01,13.082,
2008-04,12.477,
2008-07,12.192,
2008-10,13.045,
2009-01,12.926,
2009-04,12.222,
2009-07,12.194,
2009-10,13.518,
2010-01,14.043,
2010-04,13.630,
2010-07,13.202,
2010-10,13.710,
2011-01,13.450,
2011-04,12.871,
2011-07,12.818,
2011-10,13.018,
2012-01,13.046,
2012-04,12.958,
2012-07,12.571,
2012-10,12.839,
2013-01,12.643,
2013-04,12.532,
2013-07,12.600,
2013-10,12.943,
2014-01,12.906,
2014-04,11.864,
2014-07,11.708,
