"",BBK01.OEAF12T,BBK01.OEAF12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:06,
2002-01,0.346,
2002-04,0.351,
2002-07,0.396,
2002-10,0.363,
2003-01,0.353,
2003-04,0.373,
2003-07,0.384,
2003-10,0.366,
2004-01,0.332,
2004-04,0.336,
2004-07,0.340,
2004-10,0.342,
2005-01,0.340,
2005-04,0.352,
2005-07,0.367,
2005-10,0.359,
2006-01,0.328,
2006-04,0.342,
2006-07,0.366,
2006-10,0.349,
2007-01,0.343,
2007-04,0.341,
2007-07,0.312,
2007-10,0.326,
2008-01,0.302,
2008-04,0.303,
2008-07,0.312,
2008-10,0.320,
2009-01,0.302,
2009-04,0.311,
2009-07,0.305,
2009-10,0.306,
2010-01,0.284,
2010-04,0.286,
2010-07,0.300,
2010-10,0.294,
2011-01,0.284,
2011-04,0.283,
2011-07,0.291,
2011-10,0.273,
2012-01,0.274,
2012-04,0.278,
2012-07,0.237,
2012-10,0.234,
2013-01,0.228,
2013-04,0.224,
2013-07,0.238,
2013-10,0.227,
2014-01,0.228,
2014-04,0.227,
2014-07,0.227,
