"",BBK01.OEBL01G,BBK01.OEBL01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:59,
2002-01,56.641,
2002-04,57.107,
2002-07,56.835,
2002-10,61.156,
2003-01,63.982,
2003-04,65.155,
2003-07,65.800,
2003-10,68.525,
2004-01,69.450,
2004-04,69.980,
2004-07,70.071,
2004-10,72.495,
2005-01,23.516,
2005-04,24.001,
2005-07,20.807,
2005-10,21.017,
2006-01,20.876,
2006-04,20.967,
2006-07,20.368,
2006-10,20.757,
2007-01,21.899,
2007-04,22.783,
2007-07,23.333,
2007-10,24.922,
2008-01,26.311,
2008-04,27.059,
2008-07,28.067,
2008-10,31.311,
2009-01,36.377,
2009-04,38.224,
2009-07,36.998,
2009-10,36.315,
2010-01,34.359,
2010-04,34.141,
2010-07,33.818,
2010-10,34.758,
2011-01,34.687,
2011-04,35.016,
2011-07,35.455,
2011-10,35.613,
2012-01,35.945,
2012-04,36.825,
2012-07,36.880,
2012-10,37.285,
2013-01,37.075,
2013-04,36.378,
2013-07,35.498,
2013-10,35.452,
2014-01,35.421,
2014-04,35.634,
2014-07,35.815,
