"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:26,
1991-01,157.954,
1991-04,214.587,
1991-07,378.067,
1991-10,495.916,
1992-01,264.756,
1992-04,279.308,
1992-07,230.073,
1992-10,466.349,
1993-01,247.887,
1993-04,288.651,
1993-07,257.867,
1993-10,824.116,
1994-01,552.760,
1994-04,598.639,
1994-07,556.168,
1994-10,679.146,
1995-01,412.764,
1995-04,1219.664,
1995-07,633.862,
1995-10,982.651,
1996-01,1078.450,
1996-04,1569.130,
1996-07,1140.216,
1996-10,1558.560,
1997-01,639.273,
1997-04,1003.367,
1997-07,1304.419,
1997-10,1973.502,
1998-01,487.995,
1998-04,2919.512,
1998-07,2054.859,
1998-10,1704.485,
1999-01,586.278,
1999-04,1630.171,
1999-07,1625.865,
1999-10,3515.795,
2000-01,3381.327,
2000-04,5206.138,
2000-07,5260.818,
2000-10,3326.353,
2001-01,2675.615,
2001-04,3415.662,
2001-07,385.292,
2001-10,-3269.749,
2002-01,-1327.054,
2002-04,284.986,
2002-07,-88.714,
2002-10,82.481,
2003-01,133.855,
2003-04,-1455.359,
2003-07,277.841,
2003-10,1357.626,
2004-01,2247.759,
2004-04,3080.731,
2004-07,1122.502,
2004-10,3286.837,
2005-01,1259.975,
2005-04,3044.929,
2005-07,-215.771,
2005-10,7678.415,
2006-01,3569.595,
2006-04,3712.908,
2006-07,2469.475,
2006-10,4844.654,
2007-01,8319.870,
2007-04,7419.835,
2007-07,1604.303,
2007-10,12448.813,
2008-01,5447.437,
2008-04,4361.815,
2008-07,432.630,
2008-10,-2748.309,
2009-01,4696.246,
2009-04,2066.015,
2009-07,1859.147,
2009-10,-1342.257,
2010-01,4723.016,
2010-04,4985.336,
2010-07,701.684,
2010-10,6337.619,
2011-01,5561.391,
2011-04,5644.251,
2011-07,4823.485,
2011-10,4608.490,
2012-01,7403.008,
2012-04,4627.109,
2012-07,1259.437,
2012-10,2744.697,
2013-01,8374.597,
2013-04,7008.506,
2013-07,859.560,
2013-10,6064.628,
2014-01,6821.176,Provisional value
2014-04,3212.949,Provisional value
2014-07,801.161,Provisional value
2014-10,5635.874,Provisional value
