"",BBK01.OECO01H,BBK01.OECO01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:48,
2002-01,8.986,
2002-04,8.732,
2002-07,7.774,
2002-10,7.908,
2003-01,9.143,
2003-04,9.729,
2003-07,11.257,
2003-10,12.056,
2004-01,12.740,
2004-04,14.198,
2004-07,14.358,
2004-10,14.974,
2005-01,21.761,
2005-04,21.607,
2005-07,22.072,
2005-10,21.370,
2006-01,20.601,
2006-04,19.986,
2006-07,19.180,
2006-10,18.280,
2007-01,18.079,
2007-04,17.985,
2007-07,17.282,
2007-10,16.821,
2008-01,16.905,
2008-04,16.569,
2008-07,16.776,
2008-10,16.405,
2009-01,18.132,
2009-04,18.925,
2009-07,19.179,
2009-10,19.906,
2010-01,20.511,
2010-04,20.863,
2010-07,20.853,
2010-10,21.054,
2011-01,21.358,
2011-04,21.229,
2011-07,20.585,
2011-10,20.142,
2012-01,20.059,
2012-04,20.949,
2012-07,20.494,
2012-10,20.655,
2013-01,21.209,
2013-04,21.097,
2013-07,20.838,
2013-10,20.315,
2014-01,20.153,
2014-04,19.840,
2014-07,19.714,
