"",BBK01.OEYB22K,BBK01.OEYB22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:04,
2002-01,0.137,
2002-04,0.149,
2002-07,0.135,
2002-10,0.206,
2003-01,0.249,
2003-04,0.133,
2003-07,0.219,
2003-10,0.177,
2004-01,0.263,
2004-04,0.229,
2004-07,0.290,
2004-10,0.411,
2005-01,0.712,
2005-04,0.738,
2005-07,0.395,
2005-10,0.423,
2006-01,0.445,
2006-04,0.434,
2006-07,0.514,
2006-10,0.894,
2007-01,0.739,
2007-04,0.565,
2007-07,0.504,
2007-10,0.255,
2008-01,0.173,
2008-04,0.125,
2008-07,0.093,
2008-10,0.102,
2009-01,0.065,
2009-04,0.025,
2009-07,0.052,
2009-10,0.016,
2010-01,0.043,
2010-04,0.025,
2010-07,0.068,
2010-10,0.022,
2011-01,0.052,
2011-04,0.037,
2011-07,0.067,
2011-10,0.147,
2012-01,0.095,
2012-04,0.075,
2012-07,0.095,
2012-10,0.121,
2013-01,0.066,
2013-04,0.099,
2013-07,0.046,
2013-10,0.113,
2014-01,0.113,
2014-04,0.208,
2014-07,0.174,
