"",BBSF2.M.1.S.00000.GEM01.T.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.T.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:52,
2009-09,6,
2009-10,152,
2009-11,5,
2009-12,31,
2010-01,4,
2010-02,5,
2010-03,88,
2010-04,21,
2010-05,4,
2010-06,47,
2010-07,18,
2010-08,68,
2010-09,12,
2010-10,73,
2010-11,271,
2010-12,68,
2011-01,30,
2011-02,4058,
2011-03,30,
2011-04,4,
2011-05,4,
2011-06,93,
2011-07,36,
2011-08,16,
2011-09,3,
2011-10,10,
2011-11,107,
2011-12,58,
2012-01,18,
2012-02,101,
2012-03,3,
2012-04,23,
2012-05,3,
2012-06,73,
2012-07,14,
2012-08,2,
2012-09,19,
2012-10,1,
2012-11,211,
2012-12,74,
2013-01,22,
2013-02,28,
2013-03,37,
2013-04,205,
2013-05,126,
2013-06,55,
2013-07,12,
2013-08,106,
2013-09,47,
2013-10,10,
2013-11,2,
2013-12,116,
2014-01,79,
2014-02,7,
2014-03,7,
2014-04,208,
2014-05,51,
2014-06,56,
2014-07,86,
2014-08,47,
2014-09,65,
2014-10,31,
2014-11,95,
