"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:05,
1991-01,-581.597,
1991-04,384.519,
1991-07,1015.435,
1991-10,-298.370,
1992-01,-1209.038,
1992-04,-794.075,
1992-07,777.540,
1992-10,305.415,
1993-01,820.294,
1993-04,986.314,
1993-07,789.823,
1993-10,2479.409,
1994-01,467.006,
1994-04,1196.658,
1994-07,392.563,
1994-10,315.144,
1995-01,-711.800,
1995-04,326.916,
1995-07,1477.960,
1995-10,1061.141,
1996-01,2161.034,
1996-04,-900.353,
1996-07,-1020.028,
1996-10,1179.077,
1997-01,501.793,
1997-04,950.582,
1997-07,1714.179,
1997-10,4320.871,
1998-01,2575.634,
1998-04,1388.303,
1998-07,1369.744,
1998-10,-5756.760,
1999-01,1407.330,
1999-04,855.786,
1999-07,884.866,
1999-10,520.618,
2000-01,1225.133,
2000-04,1794.581,
2000-07,2359.273,
2000-10,3316.144,
2001-01,681.812,
2001-04,4132.795,
2001-07,4520.281,
2001-10,5850.197,
2002-01,2402.834,
2002-04,1481.738,
2002-07,223.948,
2002-10,1181.107,
2003-01,592.347,
2003-04,-986.713,
2003-07,7185.133,
2003-10,1303.396,
2004-01,2469.910,
2004-04,-4061.371,
2004-07,2477.534,
2004-10,1266.641,
2005-01,3633.245,
2005-04,4066.182,
2005-07,5853.052,
2005-10,6002.304,
2006-01,-660.804,
2006-04,4378.829,
2006-07,5034.914,
2006-10,14066.038,
2007-01,4811.836,
2007-04,4468.575,
2007-07,8192.757,
2007-10,-249.845,
2008-01,4627.104,
2008-04,12730.784,
2008-07,21381.974,
2008-10,9292.366,
2009-01,-1898.805,
2009-04,18057.126,
2009-07,-11112.319,
2009-10,-9727.368,
2010-01,-8397.300,
2010-04,-6437.684,
2010-07,-23118.411,
2010-10,2555.286,
2011-01,-1479.310,
2011-04,-747.439,
2011-07,1375.967,
2011-10,6973.760,
2012-01,-6347.634,
2012-04,-2490.199,
2012-07,673.374,
2012-10,-1517.077,
2013-01,-1916.018,
2013-04,-263.032,
2013-07,-2332.395,
2013-10,-1947.330,
2014-01,112.326,Provisional value
2014-04,308.691,Provisional value
2014-07,1644.302,Provisional value
2014-10,-259.964,Provisional value
