"",BBEX3.M.YER.USD.CA.AA.A01,BBEX3.M.YER.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Yemen / USD 1 = YER ... (buying),
unit,YER (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:23,
1996-07,125.84,
1996-08,125.12,
1996-09,127.67,
1996-10,127.69,
1996-11,127.77,
1996-12,126.71,
1997-01,123.62,
1997-02,125.39,
1997-03,127.43,
1997-04,126.85,
1997-05,128.08,
1997-06,128.84,
1997-07,130.05,
1997-08,132.02,
1997-09,132.34,
1997-10,132.32,
1997-11,130.30,
1997-12,130.30,
1998-01,130.23,
1998-02,132.15,
1998-03,132.16,
1998-04,132.98,
1998-05,133.69,
1998-06,136.03,
1998-07,136.89,
1998-08,136.58,
1998-09,138.02,
1998-10,141.48,
1998-11,141.92,
1998-12,141.55,
1999-01,143.47,
1999-02,146.36,
1999-03,148.25,
1999-04,154.51,
1999-05,158.95,
1999-06,160.33,
1999-07,160.44,
1999-08,160.64,
1999-09,160.86,
1999-10,161.18,
1999-11,159.91,
1999-12,159.54,
2000-01,160.91,
2000-02,160.92,
2000-03,160.97,
2000-04,161.20,
2000-05,161.48,
2000-06,155.98,
2000-07,160.86,
2000-08,162.62,
2000-09,163.73,
2000-10,164.54,
2000-11,164.01,
2000-12,165.34,
2001-01,166.03,
2001-02,165.87,
2001-03,166.46,
2001-04,167.17,
2001-05,167.84,
2001-06,168.73,
2001-07,169.21,
2001-08,169.42,
2001-09,171.18,
2001-10,170.44,
2001-11,171.29,
2001-12,173.10,
2002-01,173.16,
2002-02,173.25,
2002-03,173.86,
2002-04,174.39,
2002-05,174.97,
2002-06,175.80,
2002-07,176.29,
2002-08,176.54,
2002-09,177.00,
2002-10,177.20,
2002-11,177.60,
2002-12,178.76,
2003-01,181.77,
2003-02,181.92,
2003-03,183.44,
2003-04,183.53,
2003-05,183.75,
2003-06,183.84,
2003-07,183.87,
2003-08,183.81,
2003-09,183.85,
2003-10,183.72,
2003-11,184.03,
2003-12,184.16,
2004-01,184.22,
2004-02,184.32,
2004-03,184.44,
2004-04,184.45,
2004-05,184.49,
2004-06,184.59,
2004-07,184.67,
2004-08,184.78,
2004-09,184.90,
2004-10,184.96,
2004-11,185.23,
2004-12,185.72,
2005-01,186.46,
2005-02,187.41,
2005-03,188.43,
2005-04,190.94,
2005-05,192.15,
2005-06,192.14,
2005-07,192.20,
2005-08,192.49,
2005-09,193.32,
2005-10,194.13,
2005-11,194.50,
2005-12,194.94,
2006-01,195.37,
2006-02,196.00,
2006-03,196.12,
2006-04,196.37,
2006-05,196.70,
2006-06,197.29,
2006-07,197.54,
2006-08,197.51,
2006-09,197.63,
2006-10,198.16,
2006-11,197.97,
2006-12,198.36,
2007-01,198.45,
2007-02,198.62,
2007-03,198.66,
2007-04,198.78,
2007-05,198.97,
2007-06,198.98,
2007-07,198.95,
2007-08,198.86,comment
2007-09,198.96,
2007-10,199.00,
2007-11,199.14,
2007-12,199.38,
2008-01,199.45,
2008-02,199.52,
2008-03,199.54,
2008-04,199.56,
2008-05,199.62,
2008-06,199.68,
2008-07,199.73,
2008-08,199.76,
2008-09,199.77,
2008-10,199.89,
2008-11,199.96,
2008-12,199.98,
2009-01,200.05,
2009-02,200.09,
2009-03,200.18,
2009-04,200.26,
2009-05,200.35,
2009-06,202.35,
2009-07,204.18,
2009-08,204.80,
2009-09,204.96,
2009-10,205.73,
2009-11,206.33,
2009-12,207.19,
2010-01,211.87,
2010-02,214.98,
2010-03,221.79,
2010-04,225.08,
2010-05,225.58,
2010-06,225.87,
2010-07,239.50,
2010-08,215.00,
2010-09,214.50,
2010-10,214.00,
2010-11,213.80,
2010-12,213.75,
2011-01,213.75,
2011-02,213.75,
2011-03,213.75,
2011-04,213.75,
2011-05,213.75,
2011-06,213.75,
2011-07,213.75,
2011-08,213.75,
2011-09,213.75,
2011-10,213.75,
2011-11,213.75,
2011-12,213.75,
2012-01,213.75,
2012-02,213.75,
2012-03,213.75,
2012-04,213.75,
2012-05,213.75,
2012-06,213.75,
2012-07,214.87,
2012-08,214.89,
2012-09,214.87,
2012-10,214.87,
2012-11,214.87,
2012-12,214.87,
2013-01,214.87,
2013-02,214.87,
2013-03,214.87,
2013-04,214.87,
2013-05,214.87,
2013-06,214.87,
2013-07,214.87,
2013-08,214.87,
2013-09,214.87,
2013-10,214.87,
2013-11,214.87,
2013-12,214.87,
2014-01,214.87,
2014-02,214.87,
2014-03,214.87,
2014-04,214.87,
2014-05,214.87,
2014-06,214.87,
2014-07,214.87,
2014-08,214.87,
2014-09,214.87,
2014-10,214.87,
2014-11,214.87,
2014-12,214.87,
2015-01,214.87,
"",General: An exchange rate of USD 1 = YER 30 applied to payments for the import of wheat and flour until mid-1997.,
"","Source: Central Bank of Yemen, Sanaa.",
"",Comment on 2007-08: Exchange rate as of 1 September 2007.,
