"",BBK01.OEBJ01M,BBK01.OEBJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:05,
2002-01,5.888,
2002-04,5.598,
2002-07,6.945,
2002-10,6.960,
2003-01,6.840,
2003-04,7.122,
2003-07,7.039,
2003-10,7.997,
2004-01,7.548,
2004-04,7.530,
2004-07,8.857,
2004-10,10.070,
2005-01,8.682,
2005-04,8.472,
2005-07,8.977,
2005-10,8.808,
2006-01,8.293,
2006-04,8.741,
2006-07,8.369,
2006-10,8.865,
2007-01,8.570,
2007-04,8.865,
2007-07,8.809,
2007-10,10.325,
2008-01,9.613,
2008-04,10.085,
2008-07,9.665,
2008-10,14.397,
2009-01,14.437,
2009-04,14.568,
2009-07,14.686,
2009-10,15.088,
2010-01,14.152,
2010-04,14.573,
2010-07,14.223,
2010-10,15.422,
2011-01,15.049,
2011-04,14.830,
2011-07,15.329,
2011-10,18.766,
2012-01,17.463,
2012-04,19.723,
2012-07,21.213,
2012-10,22.121,
2013-01,20.763,
2013-04,21.683,
2013-07,20.567,
2013-10,19.965,
2014-01,19.779,
2014-04,22.883,
2014-07,21.427,
