"",BBSF2.M.1.T.00000.GEF01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:05,
2009-09,5564,
2009-10,5228,
2009-11,4783,
2009-12,4841,
2010-01,4832,
2010-02,4911,
2010-03,5498,
2010-04,5906,
2010-05,5601,
2010-06,5539,
2010-07,5688,
2010-08,5549,
2010-09,5810,
2010-10,6371,
2010-11,6030,
2010-12,5934,
2011-01,6161,
2011-02,6166,
2011-03,6191,
2011-04,6589,
2011-05,6165,
2011-06,6218,
2011-07,6008,
2011-08,4873,
2011-09,4636,
2011-10,5224,
2011-11,4945,
2011-12,4865,
2012-01,5248,
2012-02,5561,
2012-03,5582,
2012-04,6306,
2012-05,5437,
2012-06,5427,
2012-07,6161,
2012-08,6284,
2012-09,6126,
2012-10,6642,
2012-11,6667,
2012-12,6176,
2013-01,6453,
2013-02,6799,
2013-03,7109,
2013-04,7148,
2013-05,7647,
2013-06,6553,
2013-07,7231,
2013-08,7353,
2013-09,7522,
2013-10,8004,
2013-11,8785,
2013-12,8059,
2014-01,7680,
2014-02,8059,
2014-03,8064,
2014-04,7797,
2014-05,8124,
2014-06,8055,
2014-07,7512,
2014-08,6368,
2014-09,6424,
2014-10,6332,
2014-11,6528,
