"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.BE.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.BE.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Belgium / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:12,
2009-09,415,
2009-10,435,
2009-11,444,
2009-12,422,
2010-01,445,
2010-02,433,
2010-03,431,
2010-04,424,
2010-05,378,
2010-06,385,
2010-07,377,
2010-08,365,
2010-09,381,
2010-10,329,
2010-11,313,
2010-12,298,
2011-01,294,
2011-02,302,
2011-03,331,
2011-04,328,
2011-05,369,
2011-06,368,
2011-07,392,
2011-08,376,
2011-09,292,
2011-10,313,
2011-11,281,
2011-12,277,
2012-01,282,
2012-02,252,
2012-03,263,
2012-04,260,
2012-05,244,
2012-06,248,
2012-07,254,
2012-08,255,
2012-09,272,
2012-10,265,
2012-11,606,
2012-12,920,
2013-01,1180,
2013-02,1259,
2013-03,1304,
2013-04,1362,
2013-05,1652,
2013-06,1594,
2013-07,1579,
2013-08,1728,
2013-09,1823,
2013-10,1844,
2013-11,1828,
2013-12,2140,
2014-01,2338,
2014-02,2425,
2014-03,2453,
2014-04,2425,
2014-05,2493,
2014-06,2471,
2014-07,2497,
2014-08,2588,
2014-09,2657,
2014-10,2790,
2014-11,2820,
