"",BBK01.OEHI08Q,BBK01.OEHI08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:11,
2002-01,7.017,
2002-04,6.905,
2002-07,6.850,
2002-10,7.015,
2003-01,7.027,
2003-04,6.960,
2003-07,6.960,
2003-10,7.059,
2004-01,6.993,
2004-04,6.933,
2004-07,6.888,
2004-10,6.940,
2005-01,6.855,
2005-04,6.809,
2005-07,6.791,
2005-10,6.874,
2006-01,6.778,
2006-04,6.730,
2006-07,6.599,
2006-10,6.504,
2007-01,6.291,
2007-04,6.044,
2007-07,5.889,
2007-10,5.863,
2008-01,5.757,
2008-04,5.624,
2008-07,5.502,
2008-10,5.646,
2009-01,5.834,
2009-04,5.937,
2009-07,5.993,
2009-10,6.212,
2010-01,6.287,
2010-04,6.279,
2010-07,6.263,
2010-10,6.387,
2011-01,6.416,
2011-04,6.422,
2011-07,6.495,
2011-10,6.594,
2012-01,6.686,
2012-04,6.772,
2012-07,6.796,
2012-10,6.946,
2013-01,7.068,
2013-04,7.221,
2013-07,7.263,
2013-10,7.352,
2014-01,7.390,
2014-04,7.261,
2014-07,7.134,
