"",BBFN1.M.DE.N.1.A.LV.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LV.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Latvia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:07,
1994-07,0.016,
1994-08,0.021,
1994-09,0.019,
1994-10,0.021,
1994-11,0.022,
1994-12,0.029,
1995-01,0.029,
1995-02,0.031,
1995-03,0.032,
1995-04,0.033,
1995-05,0.034,
1995-06,0.034,
1995-07,0.031,
1995-08,0.033,
1995-09,0.034,
1995-10,0.033,
1995-11,0.035,
1995-12,0.032,
1996-01,0.029,
1996-02,0.034,
1996-03,0.032,
1996-04,0.035,
1996-05,0.032,
1996-06,0.032,
1996-07,0.034,
1996-08,0.033,
1996-09,0.034,
1996-10,0.037,
1996-11,0.037,
1996-12,0.036,
1997-01,0.035,
1997-02,0.041,
1997-03,0.047,
1997-04,0.046,
1997-05,0.041,
1997-06,0.042,
1997-07,0.042,
1997-08,0.044,
1997-09,0.046,
1997-10,0.044,
1997-11,0.044,
1997-12,0.046,
1998-01,0.044,
1998-02,0.048,
1998-03,0.051,
1998-04,0.056,
1998-05,0.056,
1998-06,0.065,
1998-07,0.059,
1998-08,0.057,
1998-09,0.058,
1998-10,0.054,
1998-11,0.051,
1998-12,0.043,
1999-01,0.045,
1999-02,0.049,
1999-03,0.053,
1999-04,0.053,
1999-05,0.050,
1999-06,0.054,
1999-07,0.053,
1999-08,0.055,
1999-09,0.051,
1999-10,0.060,
1999-11,0.053,
1999-12,0.050,
2000-01,0.052,
2000-02,0.055,
2000-03,0.064,
2000-04,0.065,
2000-05,0.060,
2000-06,0.065,
2000-07,0.061,
2000-08,0.063,
2000-09,0.067,
2000-10,0.068,
2000-11,0.064,
2000-12,0.061,
2001-01,0.061,
2001-02,0.062,
2001-03,0.064,
2001-04,0.073,
2001-05,0.074,
2001-06,0.079,
2001-07,0.079,
2001-08,0.083,
2001-09,0.081,
2001-10,0.075,
2001-11,0.079,
2001-12,0.075,
2002-01,0.076,
2002-02,0.077,
2002-03,0.078,
2002-04,0.076,
2002-05,0.085,
2002-06,0.083,
2002-07,0.072,
2002-08,0.074,
2002-09,0.071,
2002-10,0.070,
2002-11,0.077,
2002-12,0.069,
2003-01,0.066,
2003-02,0.071,
2003-03,0.069,
2003-04,0.070,
2003-05,0.071,
2003-06,0.074,
2003-07,0.075,
2003-08,0.081,
2003-09,0.071,
2003-10,0.073,
2003-11,0.076,
2003-12,0.068,
2004-01,0.064,
2004-02,0.068,
2004-03,0.071,
2004-04,0.073,
2004-05,0.075,
2004-06,0.074,
2004-07,0.073,
2004-08,0.072,
2004-09,0.069,
2004-10,0.078,
2004-11,0.078,
2004-12,0.069,
2005-01,0.070,
2005-02,0.078,
2005-03,0.085,
2005-04,0.100,
2005-05,0.100,
2005-06,0.101,
2005-07,0.094,
2005-08,0.093,
2005-09,0.101,
2005-10,0.107,
2005-11,0.112,
2005-12,0.107,
2006-01,0.135,
2006-02,0.148,
2006-03,0.155,
2006-04,0.114,
2006-05,0.110,
2006-06,0.125,
2006-07,0.128,
2006-08,0.132,
2006-09,0.134,
2006-10,0.129,
2006-11,0.146,
2006-12,0.133,
2007-01,0.122,
2007-02,0.129,
2007-03,0.132,
2007-04,0.131,
2007-05,0.137,
2007-06,0.136,
2007-07,0.152,
2007-08,0.143,
2007-09,0.144,
2007-10,0.136,
2007-11,0.158,
2007-12,0.153,
2008-01,0.146,
2008-02,0.150,
2008-03,0.148,
2008-04,0.154,
2008-05,0.157,
2008-06,0.161,
2008-07,0.154,
2008-08,0.156,
2008-09,0.148,
2008-10,0.142,
2008-11,0.139,
2008-12,0.129,
2009-01,0.120,
2009-02,0.110,
2009-03,0.098,
2009-04,0.097,
2009-05,0.095,
2009-06,0.091,
2009-07,0.090,
2009-08,0.094,
2009-09,0.096,
2009-10,0.093,
2009-11,0.088,
2009-12,0.079,
2010-01,0.074,
2010-02,0.075,
2010-03,0.079,
2010-04,0.077,
2010-05,0.079,
2010-06,0.082,
2010-07,0.086,
2010-08,0.091,
2010-09,0.088,
2010-10,0.093,
2010-11,0.099,
2010-12,0.091,
2011-01,0.092,
2011-02,0.092,
2011-03,0.086,
2011-04,0.092,
2011-05,0.103,
2011-06,0.105,
2011-07,0.108,
2011-08,0.096,
2011-09,0.089,
2011-10,0.093,
2011-11,0.086,
2011-12,0.081,
2012-01,0.086,
2012-02,0.085,
2012-03,0.094,
2012-04,0.094,
2012-05,0.097,
2012-06,0.106,
2012-07,0.099,
2012-08,0.105,
2012-09,0.095,
2012-10,0.091,
2012-11,0.094,
2012-12,0.088,
2013-01,0.090,
2013-02,0.103,
2013-03,0.114,
2013-04,0.103,
2013-05,0.095,
2013-06,0.100,
2013-07,0.097,
2013-08,0.110,
2013-09,0.102,
2013-10,0.095,
2013-11,0.104,
2013-12,0.083,
2014-01,0.086,
2014-02,0.093,
2014-03,0.099,
2014-04,0.108,
2014-05,0.109,
2014-06,0.111,
2014-07,0.123,
2014-08,0.112,
2014-09,0.105,
2014-10,0.108,
2014-11,0.107,
2014-12,0.090,
