"",BBK01.OEAH85I,BBK01.OEAH85I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:50,
2002-01,2.318,
2002-04,2.547,
2002-07,2.786,
2002-10,2.898,
2003-01,3.013,
2003-04,2.562,
2003-07,2.478,
2003-10,2.837,
2004-01,3.015,
2004-04,2.526,
2004-07,2.711,
2004-10,2.595,
2005-01,3.120,
2005-04,2.869,
2005-07,2.579,
2005-10,2.626,
2006-01,3.521,
2006-04,3.115,
2006-07,3.122,
2006-10,3.212,
2007-01,2.973,
2007-04,3.488,
2007-07,3.466,
2007-10,4.240,
2008-01,3.877,
2008-04,4.090,
2008-07,3.766,
2008-10,3.489,
2009-01,4.078,
2009-04,2.981,
2009-07,3.498,
2009-10,4.026,
2010-01,3.408,
2010-04,3.440,
2010-07,4.680,
2010-10,5.277,
2011-01,4.416,
2011-04,5.678,
2011-07,5.700,
2011-10,6.122,
2012-01,5.739,
2012-04,7.194,
2012-07,5.495,
2012-10,5.495,
2013-01,5.451,
2013-04,5.593,
2013-07,5.836,
2013-10,5.576,
2014-01,5.757,
2014-04,5.776,
2014-07,6.094,
