"",BBK01.OEAH02U,BBK01.OEAH02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:12,
2002-01,7.895,
2002-04,8.151,
2002-07,8.295,
2002-10,8.770,
2003-01,8.413,
2003-04,8.529,
2003-07,8.609,
2003-10,8.973,
2004-01,8.731,
2004-04,8.861,
2004-07,8.967,
2004-10,9.291,
2005-01,9.276,
2005-04,9.340,
2005-07,9.417,
2005-10,9.931,
2006-01,9.558,
2006-04,9.479,
2006-07,9.538,
2006-10,9.846,
2007-01,9.462,
2007-04,9.847,
2007-07,9.779,
2007-10,10.276,
2008-01,9.827,
2008-04,9.748,
2008-07,9.903,
2008-10,11.067,
2009-01,11.594,
2009-04,12.162,
2009-07,13.225,
2009-10,13.833,
2010-01,13.828,
2010-04,13.953,
2010-07,14.444,
2010-10,14.949,
2011-01,14.568,
2011-04,14.532,
2011-07,14.970,
2011-10,15.261,
2012-01,14.742,
2012-04,14.923,
2012-07,15.186,
2012-10,15.791,
2013-01,15.581,
2013-04,15.985,
2013-07,16.267,
2013-10,16.977,
2014-01,16.681,
2014-04,16.835,
2014-07,17.536,
