"",BBK01.OEAE04O,BBK01.OEAE04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:49,
2002-01,5.829,
2002-04,6.002,
2002-07,7.011,
2002-10,7.016,
2003-01,6.778,
2003-04,6.345,
2003-07,6.187,
2003-10,7.518,
2004-01,7.358,
2004-04,6.956,
2004-07,7.095,
2004-10,7.124,
2005-01,7.042,
2005-04,7.208,
2005-07,7.246,
2005-10,7.193,
2006-01,7.031,
2006-04,7.207,
2006-07,7.289,
2006-10,7.041,
2007-01,6.929,
2007-04,6.950,
2007-07,6.824,
2007-10,6.775,
2008-01,6.704,
2008-04,6.681,
2008-07,5.721,
2008-10,4.438,
2009-01,3.899,
2009-04,3.904,
2009-07,3.955,
2009-10,4.146,
2010-01,5.019,
2010-04,5.742,
2010-07,4.934,
2010-10,4.582,
2011-01,4.780,
2011-04,4.523,
2011-07,4.520,
2011-10,4.570,
2012-01,4.896,
2012-04,5.276,
2012-07,4.697,
2012-10,4.827,
2013-01,4.676,
2013-04,4.149,
2013-07,4.931,
2013-10,4.664,
2014-01,4.732,
2014-04,4.704,
2014-07,4.648,
