"",BBK01.OELL06T,BBK01.OELL06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:17,
2002-01,0.271,
2002-04,0.283,
2002-07,0.293,
2002-10,0.300,
2003-01,0.307,
2003-04,0.300,
2003-07,0.292,
2003-10,0.291,
2004-01,0.284,
2004-04,0.278,
2004-07,0.272,
2004-10,0.259,
2005-01,0.242,
2005-04,0.237,
2005-07,0.225,
2005-10,0.218,
2006-01,0.212,
2006-04,0.211,
2006-07,0.209,
2006-10,0.205,
2007-01,0.203,
2007-04,0.203,
2007-07,0.208,
2007-10,0.218,
2008-01,0.218,
2008-04,0.230,
2008-07,0.244,
2008-10,0.252,
2009-01,0.261,
2009-04,0.259,
2009-07,0.249,
2009-10,0.238,
2010-01,0.236,
2010-04,0.238,
2010-07,0.237,
2010-10,0.242,
2011-01,0.239,
2011-04,0.241,
2011-07,0.246,
2011-10,0.249,
2012-01,0.251,
2012-04,0.247,
2012-07,0.247,
2012-10,0.237,
2013-01,0.206,
2013-04,0.197,
2013-07,0.187,
2013-10,0.174,
2014-01,0.156,
2014-04,0.151,
2014-07,0.147,
