"",BBK01.OECB20M,BBK01.OECB20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:43,
2002-01,4.307,
2002-04,4.278,
2002-07,4.254,
2002-10,4.235,
2003-01,4.193,
2003-04,4.177,
2003-07,4.188,
2003-10,4.162,
2004-01,4.141,
2004-04,4.134,
2004-07,4.099,
2004-10,4.195,
2005-01,9.731,
2005-04,11.115,
2005-07,11.206,
2005-10,11.292,
2006-01,11.328,
2006-04,13.049,
2006-07,12.879,
2006-10,12.879,
2007-01,15.538,
2007-04,12.922,
2007-07,12.569,
2007-10,12.233,
2008-01,12.003,
2008-04,11.710,
2008-07,11.293,
2008-10,10.894,
2009-01,10.594,
2009-04,11.257,
2009-07,10.919,
2009-10,10.621,
2010-01,10.438,
2010-04,10.263,
2010-07,10.271,
2010-10,9.972,
2011-01,9.875,
2011-04,9.694,
2011-07,9.496,
2011-10,9.337,
2012-01,9.179,
2012-04,9.057,
2012-07,9.029,
2012-10,8.929,
2013-01,8.813,
2013-04,8.734,
2013-07,8.654,
2013-10,8.595,
2014-01,8.525,
2014-04,8.507,
2014-07,8.553,
