"",BBK01.CELP01,BBK01.CELP01_FLAGS
"",Time deposits                                                    debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:17,
1999-01,-2.1,
1999-04,-0.4,
1999-07,3.3,
1999-10,0.5,
2000-01,9.6,
2000-04,-3.0,
2000-07,0.7,
2000-10,-11.7,
2001-01,7.7,
2001-04,-5.7,
2001-07,1.3,
2001-10,13.8,
2002-01,-9.1,
2002-04,3.8,
2002-07,7.8,
2002-10,7.1,
2003-01,2.4,
2003-04,-1.2,
2003-07,7.4,
2003-10,4.3,
2004-01,-4.7,
2004-04,-3.6,
2004-07,14.0,
2004-10,7.0,
2005-01,-7.3,
2005-04,6.0,
2005-07,6.0,
2005-10,-0.5,
2006-01,0.8,
2006-04,7.4,
2006-07,-5.0,
2006-10,2.6,
2007-01,-1.5,
2007-04,3.7,
2007-07,19.3,
2007-10,9.5,
2008-01,-1.0,
2008-04,-4.4,
2008-07,5.9,
2008-10,-15.3,
2009-01,-5.3,
2009-04,-6.4,
2009-07,-6.1,
2009-10,-23.1,
2010-01,6.4,
2010-04,-23.5,
2010-07,19.7,
2010-10,8.9,
2011-01,7.9,
2011-04,-11.4,
2011-07,-24.4,
2011-10,4.9,
2012-01,-15.1,
2012-04,-25.7,
2012-07,-13.0,
2012-10,3.4,
2013-01,-9.3,
2013-04,-23.6,
2013-07,22.1,
2013-10,0.1,
2014-01,6.2,
2014-04,-7.5,
2014-07,-3.0,
