"",BBK01.OEAC60R,BBK01.OEAC60R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:12,
2002-01,0.573,
2002-04,0.592,
2002-07,0.596,
2002-10,0.591,
2003-01,0.594,
2003-04,0.578,
2003-07,0.585,
2003-10,0.569,
2004-01,0.569,
2004-04,0.552,
2004-07,0.548,
2004-10,0.535,
2005-01,0.526,
2005-04,0.511,
2005-07,0.498,
2005-10,0.481,
2006-01,0.477,
2006-04,0.460,
2006-07,0.467,
2006-10,0.468,
2007-01,0.462,
2007-04,0.462,
2007-07,0.448,
2007-10,0.449,
2008-01,0.447,
2008-04,0.445,
2008-07,0.443,
2008-10,0.440,
2009-01,0.433,
2009-04,0.441,
2009-07,0.437,
2009-10,0.430,
2010-01,0.439,
2010-04,0.442,
2010-07,0.442,
2010-10,0.436,
2011-01,0.435,
2011-04,0.431,
2011-07,0.433,
2011-10,0.430,
2012-01,0.420,
2012-04,0.418,
2012-07,0.420,
2012-10,0.423,
2013-01,0.421,
2013-04,0.423,
2013-07,0.423,
2013-10,0.435,
2014-01,0.430,
2014-04,0.433,
2014-07,0.429,
