"",BBK01.OEBB19U,BBK01.OEBB19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:07,
2002-01,0.162,
2002-04,0.164,
2002-07,0.159,
2002-10,0.338,
2003-01,0.374,
2003-04,0.417,
2003-07,0.453,
2003-10,0.472,
2004-01,0.499,
2004-04,0.520,
2004-07,0.537,
2004-10,0.528,
2005-01,0.536,
2005-04,0.521,
2005-07,0.595,
2005-10,0.591,
2006-01,0.598,
2006-04,0.611,
2006-07,0.626,
2006-10,0.636,
2007-01,0.586,
2007-04,0.538,
2007-07,0.496,
2007-10,0.454,
2008-01,0.416,
2008-04,0.384,
2008-07,0.353,
2008-10,0.323,
2009-01,0.303,
2009-04,0.278,
2009-07,0.276,
2009-10,0.259,
2010-01,0.251,
2010-04,0.260,
2010-07,0.249,
2010-10,0.239,
2011-01,0.233,
2011-04,0.228,
2011-07,0.226,
2011-10,0.205,
2012-01,0.201,
2012-04,0.196,
2012-07,0.186,
2012-10,0.181,
2013-01,0.169,
2013-04,0.168,
2013-07,0.169,
2013-10,0.169,
2014-01,0.163,
2014-04,0.161,
2014-07,0.158,
