"",BBK01.OEXL02Q,BBK01.OEXL02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:56,
2002-01,2.589,
2002-04,2.484,
2002-07,2.343,
2002-10,2.413,
2003-01,2.364,
2003-04,2.342,
2003-07,2.875,
2003-10,2.864,
2004-01,2.642,
2004-04,2.669,
2004-07,2.333,
2004-10,2.042,
2005-01,2.047,
2005-04,2.169,
2005-07,2.225,
2005-10,2.331,
2006-01,2.742,
2006-04,2.980,
2006-07,2.774,
2006-10,3.251,
2007-01,4.120,
2007-04,5.088,
2007-07,5.658,
2007-10,5.752,
2008-01,6.348,
2008-04,7.861,
2008-07,8.133,
2008-10,7.936,
2009-01,7.621,
2009-04,8.094,
2009-07,7.710,
2009-10,7.920,
2010-01,8.169,
2010-04,8.679,
2010-07,8.763,
2010-10,8.979,
2011-01,8.905,
2011-04,9.060,
2011-07,9.153,
2011-10,9.271,
2012-01,9.325,
2012-04,9.643,
2012-07,9.945,
2012-10,10.140,
2013-01,10.219,
2013-04,10.779,
2013-07,11.002,
2013-10,11.568,
2014-01,11.584,
2014-04,11.968,
2014-07,12.112,
