"",BBK01.OEAE03P,BBK01.OEAE03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:04,
2002-01,0.758,
2002-04,0.694,
2002-07,0.772,
2002-10,0.294,
2003-01,0.327,
2003-04,0.325,
2003-07,0.288,
2003-10,0.321,
2004-01,0.279,
2004-04,0.265,
2004-07,0.270,
2004-10,0.270,
2005-01,0.264,
2005-04,0.266,
2005-07,0.253,
2005-10,0.225,
2006-01,0.301,
2006-04,0.279,
2006-07,0.280,
2006-10,0.270,
2007-01,0.274,
2007-04,0.283,
2007-07,0.321,
2007-10,0.337,
2008-01,0.336,
2008-04,0.331,
2008-07,0.375,
2008-10,0.399,
2009-01,0.372,
2009-04,0.421,
2009-07,0.459,
2009-10,0.412,
2010-01,0.405,
2010-04,0.416,
2010-07,0.436,
2010-10,0.440,
2011-01,0.453,
2011-04,0.480,
2011-07,0.456,
2011-10,0.470,
2012-01,0.514,
2012-04,0.554,
2012-07,0.547,
2012-10,0.558,
2013-01,0.523,
2013-04,0.505,
2013-07,0.543,
2013-10,0.544,
2014-01,0.511,
2014-04,0.516,
2014-07,0.503,
