"",BBK01.OEAH17H,BBK01.OEAH17H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:49,
2002-01,137.647,
2002-04,134.609,
2002-07,134.359,
2002-10,133.581,
2003-01,133.222,
2003-04,131.755,
2003-07,129.128,
2003-10,134.453,
2004-01,133.261,
2004-04,131.504,
2004-07,130.140,
2004-10,131.723,
2005-01,133.470,
2005-04,131.709,
2005-07,131.006,
2005-10,130.813,
2006-01,131.965,
2006-04,133.472,
2006-07,138.855,
2006-10,141.499,
2007-01,148.276,
2007-04,151.748,
2007-07,163.832,
2007-10,174.060,
2008-01,187.084,
2008-04,195.223,
2008-07,201.846,
2008-10,210.973,
2009-01,198.980,
2009-04,203.565,
2009-07,192.209,
2009-10,183.190,
2010-01,179.564,
2010-04,174.518,
2010-07,174.235,
2010-10,185.590,
2011-01,175.216,
2011-04,179.783,
2011-07,186.314,
2011-10,190.383,
2012-01,179.738,
2012-04,175.743,
2012-07,178.243,
2012-10,169.034,
2013-01,170.703,
2013-04,174.258,
2013-07,144.928,
2013-10,144.355,
2014-01,145.497,
2014-04,142.606,
2014-07,141.334,
