"",BBK01.OEAF33P,BBK01.OEAF33P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:18,
2002-01,6.767,
2002-04,6.872,
2002-07,6.884,
2002-10,7.029,
2003-01,7.255,
2003-04,7.360,
2003-07,7.465,
2003-10,7.496,
2004-01,6.968,
2004-04,7.224,
2004-07,7.326,
2004-10,7.393,
2005-01,7.564,
2005-04,7.624,
2005-07,7.731,
2005-10,7.808,
2006-01,7.845,
2006-04,7.905,
2006-07,7.965,
2006-10,8.036,
2007-01,8.047,
2007-04,8.100,
2007-07,8.177,
2007-10,8.266,
2008-01,8.268,
2008-04,8.310,
2008-07,8.350,
2008-10,8.337,
2009-01,8.298,
2009-04,8.614,
2009-07,8.629,
2009-10,8.373,
2010-01,8.630,
2010-04,8.668,
2010-07,8.672,
2010-10,8.717,
2011-01,8.808,
2011-04,8.876,
2011-07,8.974,
2011-10,9.007,
2012-01,9.023,
2012-04,9.159,
2012-07,9.274,
2012-10,9.391,
2013-01,9.435,
2013-04,9.479,
2013-07,9.494,
2013-10,9.521,
2014-01,9.485,
2014-04,9.528,
2014-07,9.595,
