"",BBK01.OEXI02U,BBK01.OEXI02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:39,
2002-01,0.652,
2002-04,0.713,
2002-07,0.736,
2002-10,0.815,
2003-01,0.828,
2003-04,0.882,
2003-07,0.901,
2003-10,0.959,
2004-01,0.964,
2004-04,1.067,
2004-07,1.129,
2004-10,1.118,
2005-01,1.143,
2005-04,1.183,
2005-07,1.210,
2005-10,1.298,
2006-01,1.265,
2006-04,1.272,
2006-07,1.259,
2006-10,1.308,
2007-01,1.220,
2007-04,1.352,
2007-07,1.226,
2007-10,1.286,
2008-01,1.173,
2008-04,1.127,
2008-07,1.118,
2008-10,1.397,
2009-01,2.012,
2009-04,2.251,
2009-07,2.626,
2009-10,2.722,
2010-01,2.801,
2010-04,2.773,
2010-07,2.861,
2010-10,2.866,
2011-01,2.858,
2011-04,2.865,
2011-07,2.946,
2011-10,2.574,
2012-01,2.434,
2012-04,2.263,
2012-07,2.012,
2012-10,2.080,
2013-01,2.049,
2013-04,2.221,
2013-07,2.260,
2013-10,2.306,
2014-01,2.307,
2014-04,2.294,
2014-07,2.331,
