"",BBK01.OELL06R,BBK01.OELL06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:16,
2002-01,0.285,
2002-04,0.287,
2002-07,0.296,
2002-10,0.297,
2003-01,0.288,
2003-04,0.281,
2003-07,0.267,
2003-10,0.260,
2004-01,0.268,
2004-04,0.267,
2004-07,0.264,
2004-10,0.258,
2005-01,0.240,
2005-04,0.232,
2005-07,0.224,
2005-10,0.214,
2006-01,0.205,
2006-04,0.209,
2006-07,0.212,
2006-10,0.217,
2007-01,0.235,
2007-04,0.237,
2007-07,0.240,
2007-10,0.247,
2008-01,0.228,
2008-04,0.229,
2008-07,0.236,
2008-10,0.237,
2009-01,0.207,
2009-04,0.186,
2009-07,0.156,
2009-10,0.132,
2010-01,0.125,
2010-04,0.120,
2010-07,0.115,
2010-10,0.117,
2011-01,0.119,
2011-04,0.125,
2011-07,0.122,
2011-10,0.126,
2012-01,0.126,
2012-04,0.120,
2012-07,0.115,
2012-10,0.109,
2013-01,0.102,
2013-04,0.091,
2013-07,0.088,
2013-10,0.085,
2014-01,0.083,
2014-04,0.081,
2014-07,0.079,
