"",BBK01.OECJ05L,BBK01.OECJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:37,
2002-01,10.244,
2002-04,10.329,
2002-07,10.289,
2002-10,10.581,
2003-01,10.731,
2003-04,11.407,
2003-07,11.874,
2003-10,11.824,
2004-01,11.806,
2004-04,11.633,
2004-07,11.412,
2004-10,11.305,
2005-01,12.180,
2005-04,12.060,
2005-07,12.129,
2005-10,11.793,
2006-01,11.317,
2006-04,11.404,
2006-07,11.565,
2006-10,11.354,
2007-01,11.609,
2007-04,12.130,
2007-07,14.921,
2007-10,16.334,
2008-01,17.595,
2008-04,18.345,
2008-07,19.207,
2008-10,34.157,
2009-01,34.038,
2009-04,33.452,
2009-07,32.264,
2009-10,32.749,
2010-01,32.359,
2010-04,32.132,
2010-07,31.556,
2010-10,33.141,
2011-01,31.671,
2011-04,30.237,
2011-07,30.062,
2011-10,29.711,
2012-01,28.705,
2012-04,28.626,
2012-07,27.676,
2012-10,26.878,
2013-01,26.308,
2013-04,27.120,
2013-07,26.962,
2013-10,26.311,
2014-01,27.093,
2014-04,26.449,
2014-07,25.998,
