"",BBK01.CELQN0,BBK01.CELQN0_FLAGS
"",short-term time deposits                              debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:09,
1999-01,-47.1,
1999-04,-10.9,
1999-07,13.5,
1999-10,4.4,
2000-01,4.6,
2000-04,-3.1,
2000-07,24.9,
2000-10,6.6,
2001-01,1.4,
2001-04,-24.7,
2001-07,25.7,
2001-10,38.5,
2002-01,-5.8,
2002-04,20.2,
2002-07,42.6,
2002-10,17.7,
2003-01,44.0,
2003-04,40.3,
2003-07,-22.8,
2003-10,27.7,
2004-01,14.9,
2004-04,21.4,
2004-07,4.6,
2004-10,87.1,
2005-01,-5.2,
2005-04,-0.7,
2005-07,26.5,
2005-10,3.5,
2006-01,28.7,
2006-04,42.7,
2006-07,-12.4,
2006-10,1.3,
2007-01,-13.0,
2007-04,49.3,
2007-07,2.3,
2007-10,29.9,
2008-01,-0.9,
2008-04,-31.7,
2008-07,-3.8,
2008-10,-61.8,
2009-01,-64.3,
2009-04,-8.0,
2009-07,-62.7,
2009-10,44.4,
2010-01,-32.5,
2010-04,-2.6,
2010-07,6.0,
2010-10,-34.4,
2011-01,-30.6,
2011-04,7.9,
2011-07,8.2,
2011-10,-0.4,
2012-01,-21.5,
2012-04,-14.2,
2012-07,-21.8,
2012-10,-16.4,
2013-01,-3.1,
2013-04,-3.7,
2013-07,-31.9,
2013-10,17.8,
2014-01,66.2,
2014-04,23.4,
2014-07,-16.6,
