"",BBK01.OEAC30V,BBK01.OEAC30V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:49,
2002-01,0.565,
2002-04,0.584,
2002-07,0.561,
2002-10,0.499,
2003-01,0.511,
2003-04,0.515,
2003-07,0.505,
2003-10,0.473,
2004-01,0.486,
2004-04,0.473,
2004-07,0.458,
2004-10,0.439,
2005-01,0.455,
2005-04,0.447,
2005-07,0.384,
2005-10,0.392,
2006-01,0.395,
2006-04,0.372,
2006-07,0.353,
2006-10,0.318,
2007-01,0.317,
2007-04,0.314,
2007-07,0.299,
2007-10,0.267,
2008-01,0.298,
2008-04,0.274,
2008-07,0.260,
2008-10,0.229,
2009-01,0.252,
2009-04,0.246,
2009-07,0.239,
2009-10,0.215,
2010-01,0.233,
2010-04,0.220,
2010-07,0.201,
2010-10,0.192,
2011-01,0.209,
2011-04,0.212,
2011-07,0.197,
2011-10,0.172,
2012-01,0.184,
2012-04,0.187,
2012-07,0.181,
2012-10,0.163,
2013-01,0.174,
2013-04,0.172,
2013-07,0.158,
2013-10,0.129,
2014-01,0.146,
2014-04,0.149,
2014-07,0.142,
