"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.GR.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.GR.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Greece / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:04,
2009-09,8,
2009-10,321,
2009-11,263,
2009-12,238,
2010-01,230,
2010-02,225,
2010-03,217,
2010-04,152,
2010-05,117,
2010-06,105,
2010-07,99,
2010-08,101,
2010-09,93,
2010-10,92,
2010-11,87,
2010-12,79,
2011-01,77,
2011-02,76,
2011-03,81,
2011-04,75,
2011-05,66,
2011-06,59,
2011-07,60,
2011-08,52,
2011-09,44,
2011-10,46,
2011-11,44,
2011-12,45,
2012-01,13,
2012-02,13,
2012-03,13,
2012-04,13,
2012-05,13,
2012-06,12,
2012-07,12,
2012-08,9,
2012-09,9,
2012-10,10,
2012-11,1,
2012-12,1,
2013-01,1,
2013-02,1,
2013-03,1,
2013-04,1,
2013-05,1,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,1,
2013-12,1,
2014-01,1,
2014-02,1,
2014-03,1,
2014-04,-,Nothing exists
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,3,
2014-10,3,
2014-11,3,
