"",BBK01.OEAF38U,BBK01.OEAF38U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:28,
2002-01,0.137,
2002-04,0.139,
2002-07,0.144,
2002-10,0.146,
2003-01,0.127,
2003-04,0.129,
2003-07,0.122,
2003-10,0.123,
2004-01,0.125,
2004-04,0.117,
2004-07,0.116,
2004-10,0.110,
2005-01,0.117,
2005-04,0.119,
2005-07,0.118,
2005-10,0.112,
2006-01,0.113,
2006-04,0.111,
2006-07,0.113,
2006-10,0.112,
2007-01,0.109,
2007-04,0.106,
2007-07,0.106,
2007-10,0.100,
2008-01,0.096,
2008-04,0.096,
2008-07,0.094,
2008-10,0.095,
2009-01,0.096,
2009-04,0.097,
2009-07,0.096,
2009-10,0.095,
2010-01,0.100,
2010-04,0.103,
2010-07,0.106,
2010-10,0.105,
2011-01,0.145,
2011-04,0.145,
2011-07,0.144,
2011-10,0.143,
2012-01,0.142,
2012-04,0.134,
2012-07,0.139,
2012-10,0.140,
2013-01,0.194,
2013-04,0.199,
2013-07,0.199,
2013-10,0.202,
2014-01,0.206,
2014-04,0.209,
2014-07,0.152,
