"",BBK01.OEAF26M,BBK01.OEAF26M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:34,
2002-01,7.308,
2002-04,7.532,
2002-07,7.851,
2002-10,8.156,
2003-01,8.186,
2003-04,8.381,
2003-07,8.686,
2003-10,8.689,
2004-01,8.543,
2004-04,8.739,
2004-07,8.847,
2004-10,8.052,
2005-01,8.032,
2005-04,8.176,
2005-07,7.629,
2005-10,7.747,
2006-01,7.768,
2006-04,8.129,
2006-07,8.583,
2006-10,8.101,
2007-01,8.105,
2007-04,7.603,
2007-07,7.868,
2007-10,7.938,
2008-01,7.192,
2008-04,7.194,
2008-07,6.749,
2008-10,6.959,
2009-01,7.488,
2009-04,8.345,
2009-07,8.909,
2009-10,9.469,
2010-01,9.619,
2010-04,9.674,
2010-07,10.007,
2010-10,10.288,
2011-01,9.867,
2011-04,9.632,
2011-07,9.412,
2011-10,9.540,
2012-01,9.733,
2012-04,10.244,
2012-07,10.561,
2012-10,10.875,
2013-01,10.430,
2013-04,10.974,
2013-07,10.931,
2013-10,11.315,
2014-01,11.594,
2014-04,10.989,
2014-07,11.533,
