"",BBEX3.M.SEK.USD.CA.AA.A02,BBEX3.M.SEK.USD.CA.AA.A02_FLAGS
"",Exchange rates for the US dollar in Sweden / USD 1 = SEK ... (buying),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:49,
1972-01,4.8191,
1972-02,4.7904,
1972-03,4.7681,
1972-04,4.7795,
1972-05,4.7499,
1972-06,4.7295,
1972-07,4.7270,
1972-08,4.7225,
1972-09,4.7245,
1972-10,4.7401,
1972-11,4.7417,
1972-12,4.7397,
1973-01,4.7378,
1973-02,4.5747,
1973-03,4.4691,
1973-04,4.5066,
1973-05,4.4318,
1973-06,4.2092,
1973-07,4.0260,
1973-08,4.1387,
1973-09,4.1948,
1973-10,4.1687,
1973-11,4.3314,
1973-12,4.5231,
1974-01,4.7869,
1974-02,4.6725,
1974-03,4.5619,
1974-04,4.3900,
1974-05,4.2660,
1974-06,4.3614,
1974-07,4.3680,
1974-08,4.4120,
1974-09,4.4686,
1974-10,4.3876,
1974-11,4.3110,
1974-12,4.1930,
1975-01,4.0300,
1975-02,3.9740,
1975-03,3.9130,
1975-04,3.9670,
1975-05,3.9250,
1975-06,3.9106,
1975-07,4.1120,
1975-08,4.3090,
1975-09,4.4320,
1975-10,4.3860,
1975-11,4.3783,
1975-12,4.4026,
1976-01,4.3708,
1976-02,4.3658,
1976-03,4.3942,
1976-04,4.3948,
1976-05,4.4041,
1976-06,4.4419,
1976-07,4.4601,
1976-08,4.4033,
1976-09,4.3467,
1976-10,4.2480,
1976-11,4.2090,
1976-12,4.1536,
1977-01,4.2068,
1977-02,4.2401,
1977-03,4.2085,
1977-04,4.3367,
1977-05,4.3449,
1977-06,4.4080,
1977-07,4.3431,
1977-08,4.4450,
1977-09,4.8472,
1977-10,4.7894,
1977-11,4.7858,
1977-12,4.7430,
1978-01,4.6580,
1978-02,4.6335,
1978-03,4.5994,
1978-04,4.5926,
1978-05,4.6484,
1978-06,4.6030,
1978-07,4.5321,
1978-08,4.4304,
1978-09,4.4161,
1978-10,4.2826,
1978-11,4.3602,
1978-12,4.3753,
1979-01,4.3376,
1979-02,4.3585,
1979-03,4.3588,
1979-04,4.3843,
1979-05,4.3888,
1979-06,4.3371,
1979-07,4.2155,
1979-08,4.2147,
1979-09,4.1880,
1979-10,4.2016,
1979-11,4.2210,
1979-12,4.1754,
1980-01,4.1415,
1980-02,4.1643,
1980-03,4.3358,
1980-04,4.3601,
1980-05,4.2101,
1980-06,4.1624,
1980-07,4.1219,
1980-08,4.1710,
1980-09,4.1501,
1980-10,4.1853,
1980-11,4.2973,
1980-12,4.4032,
1981-01,4.4398,
1981-02,4.6054,
1981-03,4.6023,
1981-04,4.6740,
1981-05,4.8876,
1981-06,5.0431,
1981-07,5.1758,
1981-08,5.2969,
1981-09,5.4174,
1981-10,5.5323,
1981-11,5.4787,
1981-12,5.5381,
1982-01,5.6146,
1982-02,5.7541,
1982-03,5.8275,
1982-04,5.9086,
1982-05,5.7712,
1982-06,6.0080,
1982-07,5.1092,
1982-08,6.1318,
1982-09,6.2160,
1982-10,7.1488,
1982-11,7.5015,
1982-12,7.3473,
1983-01,7.3161,
1983-02,7.4273,
1983-03,7.4700,
1983-04,7.4759,
1983-05,7.4874,
1983-06,7.6255,
1983-07,7.6783,
1983-08,7.8521,
1983-09,7.8676,
1983-10,7.7727,
1983-11,7.9058,
1983-12,8.0488,
1984-01,8.1618,
1984-02,8.0015,
1984-03,7.7217,
1984-04,7.8238,
1984-05,8.0729,
