"",BBK01.OEAF17H,BBK01.OEAF17H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:25,
2002-01,3.706,
2002-04,3.697,
2002-07,3.811,
2002-10,3.706,
2003-01,3.540,
2003-04,3.612,
2003-07,3.679,
2003-10,3.460,
2004-01,3.270,
2004-04,3.276,
2004-07,3.317,
2004-10,3.154,
2005-01,3.188,
2005-04,3.141,
2005-07,3.238,
2005-10,3.124,
2006-01,3.065,
2006-04,3.110,
2006-07,3.171,
2006-10,3.073,
2007-01,2.902,
2007-04,2.890,
2007-07,2.981,
2007-10,3.084,
2008-01,2.838,
2008-04,2.823,
2008-07,2.816,
2008-10,2.775,
2009-01,2.609,
2009-04,2.594,
2009-07,2.607,
2009-10,2.447,
2010-01,2.401,
2010-04,2.307,
2010-07,2.304,
2010-10,2.164,
2011-01,2.172,
2011-04,2.217,
2011-07,2.361,
2011-10,2.051,
2012-01,2.147,
2012-04,2.106,
2012-07,2.093,
2012-10,2.084,
2013-01,2.037,
2013-04,1.939,
2013-07,1.961,
2013-10,1.821,
2014-01,1.824,
2014-04,1.814,
2014-07,1.834,
