"",BBK01.OELJ02R,BBK01.OELJ02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:25,
2002-01,0.174,
2002-04,0.177,
2002-07,0.219,
2002-10,0.206,
2003-01,0.179,
2003-04,0.178,
2003-07,0.198,
2003-10,0.236,
2004-01,0.205,
2004-04,0.200,
2004-07,0.217,
2004-10,0.249,
2005-01,0.208,
2005-04,0.208,
2005-07,0.225,
2005-10,0.274,
2006-01,0.197,
2006-04,0.212,
2006-07,0.249,
2006-10,0.294,
2007-01,0.231,
2007-04,0.228,
2007-07,0.273,
2007-10,0.324,
2008-01,0.275,
2008-04,0.250,
2008-07,0.302,
2008-10,0.356,
2009-01,0.286,
2009-04,0.287,
2009-07,0.313,
2009-10,0.345,
2010-01,0.309,
2010-04,0.314,
2010-07,0.354,
2010-10,0.383,
2011-01,0.348,
2011-04,0.321,
2011-07,0.358,
2011-10,0.382,
2012-01,0.348,
2012-04,0.420,
2012-07,0.491,
2012-10,0.535,
2013-01,0.499,
2013-04,0.506,
2013-07,0.531,
2013-10,0.571,
2014-01,0.553,
2014-04,0.525,
2014-07,0.578,
