"",BBK01.OEHJ08Q,BBK01.OEHJ08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:00,
2002-01,0.054,
2002-04,0.055,
2002-07,0.057,
2002-10,0.054,
2003-01,0.051,
2003-04,0.047,
2003-07,0.055,
2003-10,0.057,
2004-01,0.055,
2004-04,0.059,
2004-07,0.063,
2004-10,0.049,
2005-01,0.055,
2005-04,0.058,
2005-07,0.071,
2005-10,0.079,
2006-01,0.081,
2006-04,0.074,
2006-07,0.078,
2006-10,0.066,
2007-01,0.065,
2007-04,0.058,
2007-07,0.061,
2007-10,0.062,
2008-01,0.059,
2008-04,0.051,
2008-07,0.052,
2008-10,0.046,
2009-01,0.049,
2009-04,0.047,
2009-07,0.049,
2009-10,0.052,
2010-01,0.055,
2010-04,0.056,
2010-07,0.042,
2010-10,0.041,
2011-01,0.040,
2011-04,0.044,
2011-07,0.044,
2011-10,0.042,
2012-01,0.059,
2012-04,0.066,
2012-07,0.066,
2012-10,0.051,
2013-01,0.052,
2013-04,0.057,
2013-07,0.055,
2013-10,0.049,
2014-01,0.050,
2014-04,0.054,
2014-07,0.038,
