"",BBK01.OEXB15I,BBK01.OEXB15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:14,
2002-01,0.230,
2002-04,0.238,
2002-07,0.246,
2002-10,0.242,
2003-01,0.278,
2003-04,0.210,
2003-07,0.175,
2003-10,0.167,
2004-01,0.159,
2004-04,0.171,
2004-07,0.169,
2004-10,0.161,
2005-01,0.170,
2005-04,0.184,
2005-07,0.206,
2005-10,0.210,
2006-01,0.215,
2006-04,0.234,
2006-07,0.233,
2006-10,0.257,
2007-01,0.263,
2007-04,0.262,
2007-07,0.263,
2007-10,0.260,
2008-01,0.263,
2008-04,0.271,
2008-07,0.287,
2008-10,0.284,
2009-01,0.284,
2009-04,0.286,
2009-07,0.308,
2009-10,0.315,
2010-01,0.307,
2010-04,0.310,
2010-07,0.281,
2010-10,0.300,
2011-01,0.298,
2011-04,0.304,
2011-07,0.302,
2011-10,0.301,
2012-01,0.300,
2012-04,0.296,
2012-07,0.284,
2012-10,0.277,
2013-01,0.277,
2013-04,0.279,
2013-07,0.285,
2013-10,0.288,
2014-01,0.280,
2014-04,0.246,
2014-07,0.240,
