"",BBK01.OEAC50O,BBK01.OEAC50O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:59,
2002-01,3.983,
2002-04,3.957,
2002-07,3.952,
2002-10,3.916,
2003-01,3.851,
2003-04,3.805,
2003-07,3.625,
2003-10,3.670,
2004-01,3.587,
2004-04,3.586,
2004-07,3.536,
2004-10,3.489,
2005-01,3.488,
2005-04,3.441,
2005-07,3.436,
2005-10,3.437,
2006-01,3.426,
2006-04,3.438,
2006-07,3.377,
2006-10,3.422,
2007-01,3.394,
2007-04,3.363,
2007-07,3.341,
2007-10,3.299,
2008-01,3.300,
2008-04,3.361,
2008-07,3.397,
2008-10,3.404,
2009-01,3.417,
2009-04,3.354,
2009-07,3.333,
2009-10,3.254,
2010-01,3.111,
2010-04,3.097,
2010-07,3.227,
2010-10,3.249,
2011-01,3.206,
2011-04,3.232,
2011-07,3.219,
2011-10,3.234,
2012-01,3.247,
2012-04,3.297,
2012-07,3.337,
2012-10,3.326,
2013-01,3.310,
2013-04,3.325,
2013-07,3.351,
2013-10,3.318,
2014-01,3.329,
2014-04,3.322,
2014-07,3.307,
