"",BBK01.OEXK01Q,BBK01.OEXK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:00,
2002-01,0.788,
2002-04,0.766,
2002-07,0.775,
2002-10,0.769,
2003-01,0.706,
2003-04,0.706,
2003-07,0.801,
2003-10,0.799,
2004-01,0.772,
2004-04,0.770,
2004-07,0.793,
2004-10,0.511,
2005-01,0.487,
2005-04,0.513,
2005-07,0.553,
2005-10,0.612,
2006-01,0.656,
2006-04,0.733,
2006-07,0.736,
2006-10,0.843,
2007-01,0.945,
2007-04,1.086,
2007-07,1.172,
2007-10,1.178,
2008-01,1.242,
2008-04,1.335,
2008-07,1.428,
2008-10,1.368,
2009-01,1.298,
2009-04,1.219,
2009-07,1.230,
2009-10,1.243,
2010-01,1.273,
2010-04,1.342,
2010-07,1.357,
2010-10,1.445,
2011-01,1.421,
2011-04,1.514,
2011-07,1.589,
2011-10,1.623,
2012-01,1.629,
2012-04,1.647,
2012-07,1.730,
2012-10,1.765,
2013-01,1.770,
2013-04,1.854,
2013-07,1.969,
2013-10,2.093,
2014-01,2.079,
2014-04,2.093,
2014-07,2.129,
