"",BBK01.OEAF32P,BBK01.OEAF32P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:18,
2002-01,8.792,
2002-04,8.884,
2002-07,8.923,
2002-10,9.079,
2003-01,9.320,
2003-04,9.410,
2003-07,9.494,
2003-10,9.514,
2004-01,9.609,
2004-04,9.768,
2004-07,9.894,
2004-10,9.920,
2005-01,10.045,
2005-04,10.082,
2005-07,10.197,
2005-10,10.258,
2006-01,10.314,
2006-04,10.388,
2006-07,10.449,
2006-10,10.500,
2007-01,10.510,
2007-04,10.544,
2007-07,10.642,
2007-10,10.709,
2008-01,10.672,
2008-04,10.676,
2008-07,10.662,
2008-10,10.610,
2009-01,10.572,
2009-04,10.894,
2009-07,10.878,
2009-10,10.865,
2010-01,10.816,
2010-04,10.894,
2010-07,10.900,
2010-10,10.933,
2011-01,10.998,
2011-04,11.068,
2011-07,11.164,
2011-10,11.203,
2012-01,11.211,
2012-04,11.372,
2012-07,11.463,
2012-10,11.476,
2013-01,11.487,
2013-04,11.529,
2013-07,11.573,
2013-10,11.575,
2014-01,11.548,
2014-04,11.597,
2014-07,11.654,
