"",BBK01.OEHI06T,BBK01.OEHI06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:00,
2002-01,1.717,
2002-04,1.743,
2002-07,1.753,
2002-10,1.759,
2003-01,1.756,
2003-04,1.733,
2003-07,1.704,
2003-10,1.712,
2004-01,1.715,
2004-04,1.741,
2004-07,1.709,
2004-10,1.716,
2005-01,1.687,
2005-04,1.701,
2005-07,1.651,
2005-10,1.672,
2006-01,1.678,
2006-04,1.679,
2006-07,1.691,
2006-10,1.699,
2007-01,1.693,
2007-04,1.713,
2007-07,1.716,
2007-10,1.807,
2008-01,1.822,
2008-04,1.831,
2008-07,1.847,
2008-10,1.804,
2009-01,1.724,
2009-04,1.623,
2009-07,1.538,
2009-10,1.444,
2010-01,1.405,
2010-04,1.342,
2010-07,1.309,
2010-10,1.286,
2011-01,1.304,
2011-04,1.314,
2011-07,1.291,
2011-10,1.299,
2012-01,1.259,
2012-04,1.236,
2012-07,1.160,
2012-10,1.075,
2013-01,0.966,
2013-04,0.917,
2013-07,0.871,
2013-10,0.851,
2014-01,0.807,
2014-04,0.744,
2014-07,0.695,
