"",BBK01.CEH202,BBK01.CEH202_FLAGS
"",Currency and deposits  debtor: All sectors                     creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:03,
1991-01,-15.7,
1991-04,-2.1,
1991-07,-7.0,
1991-10,49.7,
1992-01,-7.7,
1992-04,-10.2,
1992-07,27.0,
1992-10,34.2,
1993-01,27.7,
1993-04,38.9,
1993-07,15.5,
1993-10,80.1,
1994-01,-47.2,
1994-04,7.5,
1994-07,-10.4,
1994-10,78.5,
1995-01,-14.0,
1995-04,26.1,
1995-07,38.3,
1995-10,77.5,
1996-01,26.5,
1996-04,8.2,
1996-07,33.9,
1996-10,77.6,
1997-01,13.9,
1997-04,53.2,
1997-07,-4.4,
1997-10,97.0,
1998-01,19.5,
1998-04,52.2,
1998-07,29.3,
1998-10,66.5,
1999-01,-21.9,
1999-04,22.6,
1999-07,61.7,
1999-10,22.9,
2000-01,40.3,
2000-04,-12.0,
2000-07,6.8,
2000-10,114.2,
2001-01,31.3,
2001-04,4.1,
2001-07,64.8,
2001-10,21.7,
2002-01,-57.2,
2002-04,70.6,
2002-07,50.5,
2002-10,100.8,
2003-01,59.2,
2003-04,94.1,
2003-07,-74.6,
2003-10,40.7,
2004-01,-3.4,
2004-04,78.6,
2004-07,17.6,
2004-10,63.9,
2005-01,76.6,
2005-04,75.6,
2005-07,24.2,
2005-10,-41.4,
2006-01,114.8,
2006-04,76.6,
2006-07,6.8,
2006-10,87.0,
2007-01,84.1,
2007-04,61.9,
2007-07,102.5,
2007-10,171.7,
2008-01,-8.2,
2008-04,1.9,
2008-07,219.4,
2008-10,125.0,
2009-01,-245.0,
2009-04,65.8,
2009-07,-232.1,
2009-10,-7.3,
2010-01,-24.6,
2010-04,165.8,
2010-07,-266.5,
2010-10,-49.4,
2011-01,-92.4,
2011-04,13.5,
2011-07,204.1,
2011-10,-45.1,
2012-01,219.7,
2012-04,17.7,
2012-07,-92.8,
2012-10,-230.9,
2013-01,-73.6,
2013-04,-21.3,
2013-07,-132.9,
2013-10,-50.4,
2014-01,24.3,
