"",BBSF2.M.1.P.00000.TOT01.I.F.INV.FR.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.FR.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:41,
2009-09,1314,
2009-10,1242,
2009-11,1319,
2009-12,1418,
2010-01,1369,
2010-02,1466,
2010-03,1510,
2010-04,1513,
2010-05,1397,
2010-06,1335,
2010-07,1429,
2010-08,1501,
2010-09,1575,
2010-10,1575,
2010-11,1559,
2010-12,1545,
2011-01,1581,
2011-02,1667,
2011-03,1843,
2011-04,1876,
2011-05,1681,
2011-06,1507,
2011-07,1447,
2011-08,1247,
2011-09,1190,
2011-10,1358,
2011-11,1223,
2011-12,1197,
2012-01,1233,
2012-02,1291,
2012-03,1295,
2012-04,1281,
2012-05,1145,
2012-06,1139,
2012-07,1337,
2012-08,1380,
2012-09,1383,
2012-10,1340,
2012-11,1292,
2012-12,1388,
2013-01,1457,
2013-02,1545,
2013-03,1407,
2013-04,1480,
2013-05,1468,
2013-06,1538,
2013-07,1403,
2013-08,1435,
2013-09,1495,
2013-10,1460,
2013-11,1411,
2013-12,1393,
2014-01,1427,
2014-02,1572,
2014-03,1614,
2014-04,1725,
2014-05,1834,
2014-06,1843,
2014-07,1837,
2014-08,1802,
2014-09,1722,
2014-10,1698,
2014-11,1809,
