"",BBK01.OELI04K,BBK01.OELI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:45,
2002-01,0.464,
2002-04,0.437,
2002-07,0.465,
2002-10,0.479,
2003-01,0.490,
2003-04,0.462,
2003-07,0.434,
2003-10,0.438,
2004-01,0.458,
2004-04,0.508,
2004-07,0.530,
2004-10,0.639,
2005-01,0.669,
2005-04,0.435,
2005-07,0.825,
2005-10,0.786,
2006-01,1.061,
2006-04,1.040,
2006-07,1.247,
2006-10,1.144,
2007-01,1.531,
2007-04,1.317,
2007-07,0.984,
2007-10,1.046,
2008-01,0.967,
2008-04,0.899,
2008-07,1.110,
2008-10,1.534,
2009-01,0.888,
2009-04,0.594,
2009-07,0.584,
2009-10,0.533,
2010-01,0.428,
2010-04,0.474,
2010-07,0.461,
2010-10,0.441,
2011-01,0.391,
2011-04,0.487,
2011-07,0.505,
2011-10,0.380,
2012-01,0.397,
2012-04,0.425,
2012-07,0.358,
2012-10,0.306,
2013-01,0.342,
2013-04,0.502,
2013-07,0.401,
2013-10,0.328,
2014-01,0.280,
2014-04,0.319,
2014-07,0.429,
