"",BBK01.OEAN06N,BBK01.OEAN06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:04,
2002-01,18.866,
2002-04,18.003,
2002-07,18.319,
2002-10,18.001,
2003-01,17.753,
2003-04,16.881,
2003-07,16.010,
2003-10,16.085,
2004-01,16.415,
2004-04,16.188,
2004-07,16.010,
2004-10,16.040,
2005-01,15.879,
2005-04,15.148,
2005-07,14.658,
2005-10,14.940,
2006-01,16.157,
2006-04,17.121,
2006-07,18.318,
2006-10,19.588,
2007-01,21.183,
2007-04,21.319,
2007-07,21.914,
2007-10,22.479,
2008-01,22.476,
2008-04,21.995,
2008-07,21.436,
2008-10,24.357,
2009-01,24.499,
2009-04,24.912,
2009-07,25.654,
2009-10,24.956,
2010-01,23.799,
2010-04,22.701,
2010-07,21.213,
2010-10,20.589,
2011-01,20.492,
2011-04,20.525,
2011-07,20.737,
2011-10,19.526,
2012-01,19.652,
2012-04,19.290,
2012-07,18.472,
2012-10,17.514,
2013-01,16.354,
2013-04,15.320,
2013-07,14.437,
2013-10,13.912,
2014-01,13.748,
2014-04,13.564,
2014-07,14.260,
