"",BBK01.OEAE31K,BBK01.OEAE31K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:01,
2002-01,9.006,
2002-04,9.310,
2002-07,9.687,
2002-10,9.317,
2003-01,9.507,
2003-04,9.294,
2003-07,9.536,
2003-10,9.837,
2004-01,10.546,
2004-04,10.093,
2004-07,11.133,
2004-10,11.325,
2005-01,12.222,
2005-04,12.348,
2005-07,11.377,
2005-10,11.142,
2006-01,11.221,
2006-04,11.199,
2006-07,10.949,
2006-10,10.398,
2007-01,10.058,
2007-04,9.789,
2007-07,9.511,
2007-10,9.145,
2008-01,9.709,
2008-04,9.899,
2008-07,9.815,
2008-10,10.002,
2009-01,8.769,
2009-04,9.551,
2009-07,9.663,
2009-10,9.685,
2010-01,9.910,
2010-04,10.133,
2010-07,10.564,
2010-10,10.716,
2011-01,10.851,
2011-04,10.956,
2011-07,11.459,
2011-10,11.754,
2012-01,11.598,
2012-04,12.084,
2012-07,12.383,
2012-10,12.687,
2013-01,12.871,
2013-04,12.890,
2013-07,13.636,
2013-10,14.050,
2014-01,14.397,
2014-04,14.665,
2014-07,14.510,
