"",BBK01.OEXB12N,BBK01.OEXB12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:00,
2002-01,7.857,
2002-04,8.215,
2002-07,8.428,
2002-10,8.314,
2003-01,8.216,
2003-04,8.374,
2003-07,8.314,
2003-10,8.537,
2004-01,8.400,
2004-04,8.570,
2004-07,8.309,
2004-10,3.398,
2005-01,3.530,
2005-04,3.634,
2005-07,3.788,
2005-10,3.881,
2006-01,4.010,
2006-04,4.304,
2006-07,4.270,
2006-10,4.261,
2007-01,4.320,
2007-04,4.310,
2007-07,4.296,
2007-10,4.889,
2008-01,5.186,
2008-04,6.616,
2008-07,6.808,
2008-10,6.523,
2009-01,6.686,
2009-04,6.749,
2009-07,6.696,
2009-10,6.491,
2010-01,6.046,
2010-04,6.019,
2010-07,5.623,
2010-10,5.699,
2011-01,5.925,
2011-04,5.787,
2011-07,5.939,
2011-10,5.926,
2012-01,5.811,
2012-04,6.043,
2012-07,6.128,
2012-10,6.670,
2013-01,7.108,
2013-04,6.926,
2013-07,7.352,
2013-10,7.004,
2014-01,7.054,
2014-04,7.012,
2014-07,7.180,
