"",BBK01.OEBB15O,BBK01.OEBB15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:53,
2002-01,0.187,
2002-04,0.185,
2002-07,0.186,
2002-10,0.184,
2003-01,0.186,
2003-04,0.184,
2003-07,0.186,
2003-10,0.177,
2004-01,0.178,
2004-04,0.180,
2004-07,0.186,
2004-10,-0.097,
2005-01,0.190,
2005-04,0.192,
2005-07,0.189,
2005-10,0.192,
2006-01,0.190,
2006-04,0.190,
2006-07,0.191,
2006-10,0.193,
2007-01,0.193,
2007-04,0.194,
2007-07,0.188,
2007-10,0.194,
2008-01,0.190,
2008-04,0.191,
2008-07,0.187,
2008-10,0.181,
2009-01,0.180,
2009-04,0.183,
2009-07,0.180,
2009-10,0.178,
2010-01,0.176,
2010-04,0.178,
2010-07,0.223,
2010-10,0.221,
2011-01,0.179,
2011-04,0.173,
2011-07,0.173,
2011-10,0.169,
2012-01,0.177,
2012-04,0.182,
2012-07,0.174,
2012-10,0.190,
2013-01,0.194,
2013-04,0.193,
2013-07,0.188,
2013-10,0.175,
2014-01,0.173,
2014-04,0.176,
2014-07,0.152,
