"",BBDE1.M.DE.Y.AEB5.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2P320000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:19,
1991-01,47.1,
1991-02,43.6,
1991-03,45.9,
1991-04,44.2,
1991-05,44.5,
1991-06,45.7,
1991-07,45.9,
1991-08,52.4,
1991-09,45.2,
1991-10,45.7,
1991-11,46.0,
1991-12,50.5,
1992-01,45.0,
1992-02,46.6,
1992-03,46.9,
1992-04,44.6,
1992-05,42.7,
1992-06,42.1,
1992-07,42.3,
1992-08,42.8,
1992-09,42.8,
1992-10,37.4,
1992-11,40.7,
1992-12,41.5,
1993-01,40.1,
1993-02,39.5,
1993-03,39.4,
1993-04,39.5,
1993-05,40.7,
1993-06,39.9,
1993-07,38.8,
1993-08,38.9,
1993-09,43.0,
1993-10,42.1,
1993-11,43.0,
1993-12,44.9,
1994-01,39.3,
1994-02,41.1,
1994-03,45.9,
1994-04,44.6,
1994-05,42.7,
1994-06,46.3,
1994-07,43.8,
1994-08,42.8,
1994-09,46.1,
1994-10,47.2,
1994-11,47.9,
1994-12,49.1,
1995-01,44.1,
1995-02,46.0,
1995-03,46.8,
1995-04,43.2,
1995-05,44.4,
1995-06,44.1,
1995-07,45.4,
1995-08,43.8,
1995-09,45.2,
1995-10,43.0,
1995-11,44.7,
1995-12,47.1,
1996-01,43.6,
1996-02,45.9,
1996-03,48.1,
1996-04,47.6,
1996-05,48.9,
1996-06,46.3,
1996-07,49.8,
1996-08,48.9,
1996-09,46.7,
1996-10,50.4,
1996-11,50.0,
1996-12,49.2,
1997-01,51.2,
1997-02,50.5,
1997-03,53.2,
1997-04,56.1,
1997-05,52.6,
1997-06,53.7,
1997-07,53.6,
1997-08,56.6,
1997-09,58.3,
1997-10,55.9,
1997-11,54.1,
1997-12,57.6,
1998-01,56.3,
1998-02,57.5,
1998-03,59.9,
1998-04,61.2,
1998-05,58.9,
1998-06,57.6,
1998-07,58.2,
1998-08,56.0,
1998-09,59.4,
1998-10,57.6,
1998-11,54.0,
1998-12,61.9,
1999-01,54.2,
1999-02,58.8,
1999-03,57.8,
1999-04,60.3,
1999-05,57.6,
1999-06,61.5,
1999-07,61.0,
1999-08,67.8,
1999-09,66.2,
1999-10,63.9,
1999-11,66.0,
1999-12,66.2,
2000-01,64.0,
2000-02,68.8,
2000-03,73.2,
2000-04,71.0,
2000-05,72.2,
2000-06,73.2,
2000-07,76.2,
2000-08,74.5,
2000-09,75.2,
2000-10,78.4,
2000-11,78.8,
2000-12,82.2,
2001-01,75.8,
2001-02,78.2,
2001-03,75.5,
2001-04,72.1,
2001-05,76.8,
2001-06,78.9,
2001-07,73.9,
2001-08,73.2,
2001-09,72.1,
2001-10,70.3,
2001-11,72.4,
2001-12,76.2,
2002-01,73.3,
2002-02,72.7,
2002-03,76.5,
2002-04,75.1,
2002-05,84.7,
2002-06,78.6,
2002-07,76.9,
2002-08,81.5,
2002-09,77.0,
2002-10,77.4,
2002-11,79.3,
2002-12,72.9,
2003-01,78.3,
2003-02,75.9,
2003-03,75.6,
2003-04,76.4,
2003-05,72.1,
2003-06,78.4,
2003-07,75.6,
2003-08,78.6,
2003-09,78.5,
2003-10,78.2,
2003-11,78.3,
2003-12,82.3,
2004-01,79.5,
2004-02,77.8,
2004-03,82.1,
2004-04,84.0,
2004-05,87.0,
2004-06,84.8,
2004-07,86.2,
2004-08,82.3,
2004-09,86.7,
2004-10,83.1,
2004-11,82.0,
2004-12,92.0,
2005-01,88.3,
2005-02,85.5,
2005-03,89.4,
2005-04,86.7,
2005-05,88.4,
2005-06,91.1,
2005-07,94.6,
2005-08,90.4,
2005-09,97.0,
2005-10,98.8,
2005-11,101.2,
2005-12,98.7,
2006-01,102.6,
2006-02,100.8,
2006-03,99.5,
2006-04,103.2,
2006-05,101.0,
2006-06,98.4,
2006-07,104.9,
2006-08,109.2,
2006-09,100.6,
2006-10,103.1,
2006-11,103.1,
2006-12,106.1,
2007-01,108.3,
2007-02,115.3,
2007-03,110.9,
2007-04,112.0,
2007-05,117.3,
2007-06,124.4,
2007-07,114.4,
2007-08,116.0,
2007-09,114.4,
2007-10,123.8,
2007-11,125.3,
2007-12,122.4,
2008-01,121.0,
2008-02,122.9,
2008-03,118.5,
2008-04,119.7,
2008-05,114.7,
2008-06,105.9,
2008-07,107.4,
2008-08,109.3,
2008-09,97.5,
2008-10,87.8,
2008-11,83.2,
2008-12,74.9,
2009-01,64.3,
2009-02,65.4,
2009-03,71.3,
2009-04,67.8,
2009-05,70.7,
2009-06,76.2,
2009-07,75.9,
2009-08,77.7,
2009-09,85.8,
2009-10,79.4,
2009-11,85.0,
2009-12,83.7,
2010-01,85.7,
2010-02,86.0,
2010-03,92.4,
2010-04,95.7,
2010-05,97.6,
2010-06,102.7,
2010-07,100.3,
2010-08,108.1,
2010-09,102.3,
2010-10,102.0,
2010-11,115.3,
2010-12,107.1,
2011-01,111.3,
2011-02,112.9,
2011-03,106.8,
2011-04,111.9,
2011-05,106.6,
2011-06,121.8,
2011-07,109.5,
2011-08,110.9,
2011-09,104.5,
2011-10,111.5,
2011-11,102.8,
2011-12,107.1,
2012-01,101.7,
2012-02,103.9,
2012-03,112.0,
2012-04,106.9,
2012-05,108.9,
2012-06,106.6,
2012-07,107.8,
2012-08,107.4,
2012-09,104.3,
2012-10,113.2,
2012-11,105.9,
2012-12,109.2,
2013-01,106.8,
2013-02,109.8,
2013-03,112.6,
2013-04,108.9,
2013-05,110.4,
2013-06,121.6,
2013-07,112.6,
2013-08,111.8,
2013-09,119.5,
2013-10,115.6,
2013-11,116.7,
2013-12,123.0,
2014-01,118.1,
2014-02,118.2,
2014-03,112.3,
2014-04,118.7,
2014-05,120.1,
2014-06,112.4,
2014-07,126.7,
2014-08,114.6,
2014-09,119.4,
2014-10,119.3,
2014-11,118.5,
2014-12,127.5,Provisional value
