"",BBK01.OEAG04H,BBK01.OEAG04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:14,
2002-01,20.662,
2002-04,20.872,
2002-07,20.817,
2002-10,21.258,
2003-01,21.279,
2003-04,20.943,
2003-07,21.204,
2003-10,22.084,
2004-01,19.814,
2004-04,19.633,
2004-07,19.945,
2004-10,19.469,
2005-01,19.451,
2005-04,19.121,
2005-07,18.928,
2005-10,19.100,
2006-01,18.633,
2006-04,18.385,
2006-07,17.847,
2006-10,17.933,
2007-01,18.904,
2007-04,18.950,
2007-07,17.955,
2007-10,17.224,
2008-01,16.941,
2008-04,16.811,
2008-07,16.862,
2008-10,16.497,
2009-01,17.369,
2009-04,15.881,
2009-07,16.188,
2009-10,16.887,
2010-01,17.083,
2010-04,17.717,
2010-07,18.010,
2010-10,18.005,
2011-01,19.750,
2011-04,20.507,
2011-07,21.711,
2011-10,21.108,
2012-01,21.662,
2012-04,22.610,
2012-07,22.674,
2012-10,22.940,
2013-01,23.241,
2013-04,23.045,
2013-07,23.189,
2013-10,22.274,
2014-01,20.669,
2014-04,19.935,
2014-07,20.263,
