"",BBFN1.M.DE.N.1.A.S1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:35,
1995-01,0.617,
1995-02,0.616,
1995-03,0.617,
1995-04,0.594,
1995-05,0.591,
1995-06,0.600,
1995-07,0.624,
1995-08,0.620,
1995-09,0.663,
1995-10,0.655,
1995-11,0.642,
1995-12,0.651,
1996-01,0.648,
1996-02,0.642,
1996-03,0.663,
1996-04,0.670,
1996-05,0.654,
1996-06,0.655,
1996-07,0.662,
1996-08,0.688,
1996-09,0.689,
1996-10,0.712,
1996-11,0.706,
1996-12,0.706,
1997-01,0.751,
1997-02,0.774,
1997-03,0.823,
1997-04,0.848,
1997-05,0.842,
1997-06,0.857,
1997-07,0.903,
1997-08,0.948,
1997-09,0.983,
1997-10,1.001,
1997-11,1.000,
1997-12,1.039,
1998-01,1.136,
1998-02,1.164,
1998-03,1.187,
1998-04,1.174,
1998-05,1.339,
1998-06,1.401,
1998-07,1.450,
1998-08,1.464,
1998-09,1.542,
1998-10,1.532,
1998-11,1.538,
1998-12,1.554,
1999-01,1.556,
1999-02,1.578,
1999-03,1.558,
1999-04,1.596,
1999-05,1.597,
1999-06,1.590,
1999-07,1.592,
1999-08,1.623,
1999-09,1.541,
1999-10,1.561,
1999-11,1.532,
1999-12,1.554,
2000-01,1.585,
2000-02,1.623,
2000-03,1.523,
2000-04,1.530,
2000-05,1.588,
2000-06,1.548,
2000-07,1.583,
2000-08,1.627,
2000-09,1.693,
2000-10,1.728,
2000-11,1.761,
2000-12,1.738,
2001-01,1.771,
2001-02,1.718,
2001-03,1.821,
2001-04,1.877,
2001-05,1.875,
2001-06,1.801,
2001-07,1.838,
2001-08,1.884,
2001-09,1.739,
2001-10,1.735,
2001-11,1.681,
2001-12,1.677,
2002-01,1.749,
2002-02,1.736,
2002-03,1.756,
2002-04,1.705,
2002-05,1.784,
2002-06,1.788,
2002-07,1.854,
2002-08,1.855,
2002-09,1.811,
2002-10,1.831,
2002-11,1.808,
2002-12,1.730,
2003-01,1.683,
2003-02,1.700,
2003-03,1.667,
2003-04,1.678,
2003-05,1.690,
2003-06,1.645,
2003-07,1.640,
2003-08,1.620,
2003-09,1.628,
2003-10,1.802,
2003-11,1.809,
2003-12,1.715,
2004-01,1.660,
2004-02,1.603,
2004-03,1.610,
2004-04,1.615,
2004-05,1.619,
2004-06,1.595,
2004-07,1.567,
2004-08,1.568,
2004-09,1.592,
2004-10,1.596,
2004-11,1.570,
2004-12,1.524,
2005-01,1.529,
2005-02,1.561,
2005-03,1.645,
2005-04,1.760,
2005-05,1.833,
2005-06,1.850,
2005-07,1.859,
2005-08,1.868,
2005-09,1.859,
2005-10,1.873,
2005-11,1.877,
2005-12,1.926,
2006-01,1.971,
2006-02,1.950,
2006-03,1.931,
2006-04,2.019,
2006-05,2.094,
2006-06,2.063,
2006-07,2.112,
2006-08,2.168,
2006-09,2.163,
2006-10,2.171,
2006-11,2.236,
2006-12,2.040,
2007-01,2.104,
2007-02,2.083,
2007-03,2.085,
2007-04,2.146,
2007-05,2.320,
2007-06,2.342,
2007-07,2.475,
2007-08,2.537,
2007-09,2.639,
2007-10,2.690,
2007-11,2.736,
2007-12,2.858,
2008-01,3.003,
2008-02,3.032,
2008-03,3.113,
2008-04,3.235,
2008-05,3.467,
2008-06,3.453,
2008-07,3.145,
2008-08,3.192,
2008-09,3.486,
2008-10,3.531,
2008-11,3.720,
2008-12,3.737,
2009-01,3.918,
2009-02,3.907,
2009-03,4.018,
2009-04,4.087,
2009-05,4.454,
2009-06,4.509,
2009-07,4.414,
2009-08,4.556,
2009-09,4.483,
2009-10,4.424,
2009-11,4.568,
2009-12,4.600,
2010-01,4.666,
2010-02,4.758,
2010-03,4.824,
2010-04,4.881,
2010-05,5.085,
2010-06,5.176,
2010-07,5.268,
2010-08,5.325,
2010-09,5.135,
2010-10,5.540,
2010-11,5.579,
2010-12,5.838,
2011-01,5.588,
2011-02,5.625,
2011-03,5.656,
2011-04,5.893,
2011-05,5.903,
2011-06,6.036,
2011-07,6.209,
2011-08,6.357,
2011-09,6.792,
2011-10,6.888,
2011-11,6.924,
2011-12,6.992,
2012-01,7.037,
2012-02,6.968,
2012-03,6.835,
2012-04,6.862,
2012-05,7.052,
2012-06,7.074,
2012-07,7.358,
2012-08,7.417,
2012-09,7.242,
2012-10,7.331,
2012-11,7.327,
2012-12,7.204,
2013-01,7.187,
2013-02,7.385,
2013-03,7.649,
2013-04,7.724,
2013-05,7.496,
2013-06,7.397,
2013-07,7.422,
2013-08,7.431,
2013-09,7.432,
2013-10,7.328,
2013-11,7.262,
2013-12,7.057,
2014-01,7.239,
2014-02,7.087,
2014-03,7.105,
2014-04,9.157,
2014-05,7.252,
2014-06,7.176,
2014-07,7.366,
2014-08,7.483,
2014-09,7.587,
2014-10,8.419,
2014-11,8.516,
2014-12,8.633,
