"",BBK01.TQ7015D,BBK01.TQ7015D_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Advanced economies excl. China       FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:27,
2005-10,21.60,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,24.22,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,25.13,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,25.05,
2009-01,24.39,
2009-04,24.04,
2009-07,23.39,
2009-10,23.49,
2010-01,23.51,
2010-04,23.97,
2010-07,23.43,
2010-10,21.66,
2011-01,17.07,
2011-04,17.32,
2011-07,17.20,
2011-10,16.70,
2012-01,16.30,
2012-04,16.00,
2012-07,16.30,
2012-10,15.70,
2013-01,15.90,
2013-04,15.90,
2013-07,15.60,
2013-10,15.70,
2014-01,16.00,
2014-04,16.10,
2014-07,16.10,
