"",BBFN1.M.DE.N.1.A.PL.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PL.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Poland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:48,
1982-09,0.004,
1982-10,0.004,
1982-11,0.004,
1982-12,0.011,
1983-01,0.011,
1983-02,0.011,
1983-03,0.011,
1983-04,0.011,
1983-05,0.011,
1983-06,0.011,
1983-07,0.011,
1983-08,0.014,
1983-09,0.014,
1983-10,0.014,
1983-11,0.024,
1983-12,0.027,
1984-01,0.027,
1984-02,0.027,
1984-03,0.047,
1984-04,0.047,
1984-05,0.047,
1984-06,0.047,
1984-07,0.047,
1984-08,0.047,
1984-09,0.048,
1984-10,0.048,
1984-11,0.048,
1984-12,0.049,
1985-01,0.058,
1985-02,0.058,
1985-03,0.058,
1985-04,0.058,
1985-05,0.059,
1985-06,0.059,
1985-07,0.059,
1985-08,0.059,
1985-09,0.058,
1985-10,0.058,
1985-11,0.058,
1985-12,0.058,
1986-01,0.058,
1986-02,0.058,
1986-03,0.058,
1986-04,0.057,
1986-05,0.057,
1986-06,0.054,
1986-07,0.054,
1986-08,0.054,
1986-09,0.054,
1986-10,0.054,
1986-11,0.054,
1986-12,0.053,
1987-01,0.053,
1987-02,0.053,
1987-03,0.053,
1987-04,0.053,
1987-05,0.053,
1987-06,0.053,
1987-07,0.053,
1987-08,0.053,
1987-09,0.053,
1987-10,0.053,
1987-11,0.053,
1987-12,0.053,
1988-01,0.051,
1988-02,0.051,
1988-03,0.051,
1988-04,0.052,
1988-05,0.052,
1988-06,0.051,
1988-07,0.057,
1988-08,0.056,
1988-09,0.056,
1988-10,0.056,
1988-11,0.056,
1988-12,0.054,
1989-01,0.054,
1989-02,0.054,
1989-03,0.055,
1989-04,0.055,
1989-05,0.055,
1989-06,0.055,
1989-07,0.056,
1989-08,0.054,
1989-09,0.055,
1989-10,0.055,
1989-11,0.055,
1989-12,0.056,
1990-01,0.055,
1990-02,0.056,
1990-03,0.056,
1990-04,0.056,
1990-05,0.056,
1990-06,0.055,
1990-07,0.056,
1990-08,0.055,
1990-09,0.055,
1990-10,0.054,
1990-11,0.055,
1990-12,0.053,
1991-01,0.053,
1991-02,0.053,
1991-03,0.054,
1991-04,0.053,
1991-05,0.053,
1991-06,0.053,
1991-07,0.056,
1991-08,0.056,
1991-09,0.058,
1991-10,0.056,
1991-11,0.057,
1991-12,0.056,
1992-01,0.054,
1992-02,0.055,
1992-03,0.056,
1992-04,0.057,
1992-05,0.063,
1992-06,0.063,
1992-07,0.061,
1992-08,0.063,
1992-09,0.063,
1992-10,0.065,
1992-11,0.067,
1992-12,0.070,
1993-01,0.071,
1993-02,0.071,
1993-03,0.073,
1993-04,0.079,
1993-05,0.079,
1993-06,0.081,
1993-07,0.083,
1993-08,0.087,
1993-09,0.089,
1993-10,0.092,
1993-11,0.096,
1993-12,0.098,
1994-01,0.097,
1994-02,0.098,
1994-03,0.102,
1994-04,0.108,
1994-05,0.111,
1994-06,0.115,
1994-07,0.119,
1994-08,0.130,
1994-09,0.134,
1994-10,0.095,
1994-11,0.102,
1994-12,0.096,
1995-01,0.101,
1995-02,0.102,
1995-03,0.109,
1995-04,0.123,
1995-05,0.127,
1995-06,0.130,
1995-07,0.142,
1995-08,0.172,
1995-09,0.170,
1995-10,0.179,
1995-11,0.177,
1995-12,0.172,
1996-01,0.182,
1996-02,0.193,
1996-03,0.187,
1996-04,0.192,
1996-05,0.193,
1996-06,0.208,
1996-07,0.226,
1996-08,0.225,
1996-09,0.229,
1996-10,0.230,
1996-11,0.235,
1996-12,0.235,
1997-01,0.241,
1997-02,0.243,
1997-03,0.261,
1997-04,0.264,
1997-05,0.313,
1997-06,0.331,
1997-07,0.359,
1997-08,0.362,
1997-09,0.345,
1997-10,0.360,
1997-11,0.373,
1997-12,0.379,
1998-01,0.404,
1998-02,0.417,
1998-03,0.450,
1998-04,0.441,
1998-05,0.463,
1998-06,0.456,
1998-07,0.455,
1998-08,0.471,
1998-09,0.496,
1998-10,0.487,
1998-11,0.507,
1998-12,0.467,
1999-01,0.484,
1999-02,0.511,
1999-03,0.534,
1999-04,0.525,
1999-05,0.523,
1999-06,0.512,
1999-07,0.505,
1999-08,0.503,
1999-09,0.514,
1999-10,0.542,
1999-11,0.573,
1999-12,0.576,
2000-01,0.582,
2000-02,0.602,
2000-03,0.619,
2000-04,0.619,
2000-05,0.624,
2000-06,0.627,
2000-07,0.630,
2000-08,0.623,
2000-09,0.672,
2000-10,0.709,
2000-11,0.716,
2000-12,0.695,
2001-01,0.687,
2001-02,0.726,
2001-03,0.777,
2001-04,0.788,
2001-05,0.805,
2001-06,0.829,
2001-07,0.855,
2001-08,0.882,
2001-09,0.951,
2001-10,0.925,
2001-11,0.939,
2001-12,0.887,
2002-01,0.906,
2002-02,0.890,
2002-03,0.806,
2002-04,0.854,
2002-05,0.871,
2002-06,0.969,
2002-07,0.955,
2002-08,0.984,
2002-09,0.990,
2002-10,0.999,
2002-11,1.008,
2002-12,1.002,
2003-01,1.015,
2003-02,1.001,
2003-03,0.972,
2003-04,0.919,
2003-05,0.977,
2003-06,0.968,
2003-07,0.953,
2003-08,0.956,
2003-09,0.872,
2003-10,0.892,
2003-11,0.872,
2003-12,0.809,
2004-01,0.789,
2004-02,0.804,
2004-03,0.726,
2004-04,0.720,
2004-05,0.692,
2004-06,0.649,
2004-07,0.664,
2004-08,0.661,
2004-09,0.621,
2004-10,0.633,
2004-11,0.614,
2004-12,0.610,
2005-01,0.547,
2005-02,0.547,
2005-03,0.479,
2005-04,0.479,
2005-05,0.482,
2005-06,0.472,
2005-07,0.602,
2005-08,0.615,
2005-09,0.618,
2005-10,0.612,
2005-11,0.607,
2005-12,0.534,
2006-01,0.525,
2006-02,0.635,
2006-03,0.578,
2006-04,0.478,
2006-05,0.474,
2006-06,0.458,
2006-07,0.453,
2006-08,0.441,
2006-09,0.428,
2006-10,0.610,
2006-11,0.610,
2006-12,0.636,
2007-01,0.631,
2007-02,0.645,
2007-03,0.634,
2007-04,0.707,
2007-05,0.741,
2007-06,0.740,
2007-07,0.765,
2007-08,0.787,
2007-09,0.812,
2007-10,0.942,
2007-11,0.890,
2007-12,0.897,
2008-01,0.976,
2008-02,1.038,
2008-03,1.050,
2008-04,1.054,
2008-05,1.069,
2008-06,1.084,
2008-07,1.190,
2008-08,1.196,
2008-09,1.201,
2008-10,1.222,
2008-11,1.295,
2008-12,1.260,
2009-01,1.279,
2009-02,1.279,
2009-03,1.278,
2009-04,1.327,
2009-05,1.324,
2009-06,1.127,
2009-07,1.166,
2009-08,1.233,
2009-09,1.284,
2009-10,1.495,
2009-11,1.565,
2009-12,1.548,
2010-01,1.543,
2010-02,1.562,
2010-03,1.607,
2010-04,1.621,
2010-05,1.562,
2010-06,1.579,
2010-07,1.839,
2010-08,1.878,
2010-09,1.803,
2010-10,1.734,
2010-11,1.737,
2010-12,1.744,
2011-01,1.790,
2011-02,1.759,
2011-03,1.772,
2011-04,1.745,
2011-05,1.735,
2011-06,2.135,
2011-07,2.225,
2011-08,2.240,
2011-09,2.320,
2011-10,2.156,
2011-11,2.076,
2011-12,2.142,
2012-01,2.336,
2012-02,2.636,
2012-03,2.503,
2012-04,2.469,
2012-05,2.461,
2012-06,2.491,
2012-07,2.555,
2012-08,2.475,
2012-09,2.462,
2012-10,2.442,
2012-11,2.567,
2012-12,2.462,
2013-01,2.497,
2013-02,2.719,
2013-03,2.871,
2013-04,2.914,
2013-05,2.897,
2013-06,2.890,
2013-07,2.744,
2013-08,3.077,
2013-09,3.080,
2013-10,3.050,
2013-11,2.988,
2013-12,3.013,
2014-01,3.037,
2014-02,3.300,
2014-03,3.379,
2014-04,3.526,
2014-05,3.529,
2014-06,3.550,
2014-07,3.454,
2014-08,3.471,
2014-09,3.461,
2014-10,3.471,
2014-11,3.461,
2014-12,3.506,
