"",BBK01.OECJ01R,BBK01.OECJ01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:14,
2002-01,0.416,
2002-04,0.432,
2002-07,0.426,
2002-10,0.458,
2003-01,0.363,
2003-04,0.410,
2003-07,0.362,
2003-10,0.412,
2004-01,0.344,
2004-04,0.360,
2004-07,0.359,
2004-10,0.557,
2005-01,0.471,
2005-04,0.454,
2005-07,0.453,
2005-10,0.545,
2006-01,0.429,
2006-04,0.470,
2006-07,0.540,
2006-10,0.621,
2007-01,0.581,
2007-04,0.637,
2007-07,0.665,
2007-10,0.565,
2008-01,0.598,
2008-04,0.522,
2008-07,0.566,
2008-10,0.610,
2009-01,0.523,
2009-04,0.492,
2009-07,0.529,
2009-10,0.621,
2010-01,0.557,
2010-04,0.520,
2010-07,0.578,
2010-10,0.705,
2011-01,0.612,
2011-04,0.588,
2011-07,0.620,
2011-10,0.634,
2012-01,0.646,
2012-04,0.653,
2012-07,0.730,
2012-10,0.731,
2013-01,0.668,
2013-04,0.675,
2013-07,0.714,
2013-10,0.773,
2014-01,0.713,
2014-04,0.728,
2014-07,0.744,
