"",BBK01.OEHK03K,BBK01.OEHK03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:37,
2002-01,0.478,
2002-04,0.450,
2002-07,0.519,
2002-10,0.688,
2003-01,0.646,
2003-04,0.640,
2003-07,0.637,
2003-10,0.600,
2004-01,0.473,
2004-04,0.467,
2004-07,0.657,
2004-10,0.371,
2005-01,0.426,
2005-04,0.353,
2005-07,0.315,
2005-10,0.378,
2006-01,0.396,
2006-04,0.421,
2006-07,0.458,
2006-10,0.564,
2007-01,0.561,
2007-04,0.497,
2007-07,0.521,
2007-10,0.613,
2008-01,0.543,
2008-04,0.591,
2008-07,0.534,
2008-10,0.677,
2009-01,0.334,
2009-04,0.238,
2009-07,0.181,
2009-10,0.176,
2010-01,0.190,
2010-04,0.178,
2010-07,0.170,
2010-10,0.169,
2011-01,0.173,
2011-04,0.197,
2011-07,0.252,
2011-10,0.255,
2012-01,0.224,
2012-04,0.129,
2012-07,0.106,
2012-10,0.071,
2013-01,0.069,
2013-04,0.041,
2013-07,0.065,
2013-10,0.060,
2014-01,0.036,
2014-04,0.054,
2014-07,0.030,
