"",BBK01.OEHI04U,BBK01.OEHI04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:48,
2002-01,1.007,
2002-04,1.005,
2002-07,0.964,
2002-10,0.920,
2003-01,0.914,
2003-04,0.862,
2003-07,0.878,
2003-10,0.829,
2004-01,0.876,
2004-04,0.818,
2004-07,0.813,
2004-10,0.735,
2005-01,0.738,
2005-04,0.728,
2005-07,0.762,
2005-10,0.772,
2006-01,0.862,
2006-04,0.827,
2006-07,0.871,
2006-10,0.819,
2007-01,0.978,
2007-04,0.999,
2007-07,1.079,
2007-10,1.066,
2008-01,1.208,
2008-04,1.240,
2008-07,1.374,
2008-10,1.312,
2009-01,1.214,
2009-04,1.007,
2009-07,0.733,
2009-10,0.690,
2010-01,0.612,
2010-04,0.564,
2010-07,0.592,
2010-10,0.614,
2011-01,0.693,
2011-04,0.710,
2011-07,0.760,
2011-10,0.722,
2012-01,0.649,
2012-04,0.593,
2012-07,0.570,
2012-10,0.505,
2013-01,0.446,
2013-04,0.433,
2013-07,0.465,
2013-10,0.432,
2014-01,0.445,
2014-04,0.406,
2014-07,0.370,
