"",BBK01.OECI04O,BBK01.OECI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:42,
2002-01,1.355,
2002-04,1.542,
2002-07,1.482,
2002-10,1.392,
2003-01,1.370,
2003-04,1.243,
2003-07,1.172,
2003-10,1.079,
2004-01,0.982,
2004-04,0.995,
2004-07,1.014,
2004-10,1.202,
2005-01,1.021,
2005-04,0.964,
2005-07,0.976,
2005-10,0.892,
2006-01,1.072,
2006-04,1.149,
2006-07,1.312,
2006-10,1.354,
2007-01,1.279,
2007-04,1.452,
2007-07,1.856,
2007-10,2.196,
2008-01,2.266,
2008-04,2.358,
2008-07,2.883,
2008-10,2.974,
2009-01,2.640,
2009-04,2.443,
2009-07,2.312,
2009-10,1.968,
2010-01,1.767,
2010-04,1.577,
2010-07,1.350,
2010-10,1.162,
2011-01,1.267,
2011-04,1.380,
2011-07,1.206,
2011-10,1.064,
2012-01,1.144,
2012-04,1.013,
2012-07,1.189,
2012-10,0.980,
2013-01,0.718,
2013-04,0.881,
2013-07,0.784,
2013-10,0.964,
2014-01,0.799,
2014-04,0.631,
2014-07,0.546,
