"",BBK01.OEXL08K,BBK01.OEXL08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:34,
2002-01,1.282,
2002-04,1.261,
2002-07,1.258,
2002-10,1.341,
2003-01,1.446,
2003-04,1.452,
2003-07,1.437,
2003-10,1.445,
2004-01,1.445,
2004-04,1.441,
2004-07,1.398,
2004-10,0.910,
2005-01,0.922,
2005-04,0.934,
2005-07,0.935,
2005-10,0.968,
2006-01,0.977,
2006-04,0.975,
2006-07,0.935,
2006-10,0.964,
2007-01,0.994,
2007-04,0.995,
2007-07,0.978,
2007-10,1.004,
2008-01,1.074,
2008-04,1.036,
2008-07,1.013,
2008-10,1.088,
2009-01,1.073,
2009-04,1.083,
2009-07,1.143,
2009-10,1.265,
2010-01,1.295,
2010-04,1.273,
2010-07,1.317,
2010-10,1.422,
2011-01,1.417,
2011-04,1.301,
2011-07,1.252,
2011-10,1.294,
2012-01,1.307,
2012-04,1.340,
2012-07,1.419,
2012-10,1.481,
2013-01,1.528,
2013-04,1.553,
2013-07,1.567,
2013-10,1.582,
2014-01,1.588,
2014-04,1.588,
2014-07,1.583,
